;;;;;;;;;;;FIBRE;;;;;;FRAGMENT DUR;;;;;;FRAGMENT SOUPLE;;;;;
Plage;"Fréquentation (1=Faible; 2=moyenne; 3= élevée)";"Situation (1 = campagne; 2 =urbain)";"Distance parking (1=<100m; 2=100-500m; 3=500-1000m; 4=<1000m)";Echantillon;Coordonnée x;Coordonnée y;Orientation;Orientation moyenne;"Position de l'échantillon
1 = Ligne d'eau
2 = reste de la plage";"Substrat (1 = Sable fin; 2 = Sable grossier; 3 = Gravier; 4 = Galet )";Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre;Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre;Rouge/rose;Bleu;Jaune/orange;Blanc/transparent;Noir/gris;Autre
Amphion;3;1;1;74_Amp_1;46,39811667;6,534083333;NE;33,75;1;4;3;10;0;66;17;1;0;0;0;0;0;0;0;0;0;0;0;0
Amphion;3;1;1;74_Amp_10;46,3979;6,53445;NNE;33,75;2;4;;;;;;;;;;;;;;;;;;
Amphion;3;1;1;74_Amp_2;46,39801667;6,53425;NNE;33,75;1;4;5;8;0;88;20;0;1;1;1;0;0;0;1;0;0;11;0;0
Amphion;3;1;1;74_Amp_3;46,398;6,53435;NE;33,75;1;4;3;2;1;17;7;1;;;;;;;;;;;;
Amphion;3;1;1;74_Amp_4;46,39791667;6,534583333;NNE;33,75;1;4;5;11;;146;17;;1;1;;;;;;1;;;;
Amphion;3;1;1;74_Amp_5;46,3981;6,5341;NE;33,75;2;4;;;;;;;;;;;;;;;;;;
Amphion;3;1;1;74_Amp_6;46,39803333;6,53415;NE;33,75;2;4;;;;;;;;;;;;;;;;;;
Amphion;3;1;1;74_Amp_7;46,39795;6,53435;NE;33,75;2;4;;;;;;;;;;;;;;;;;;
Amphion;3;1;1;74_Amp_8;46,3979;6,53455;NNE;33,75;2;4;;;;;;;;;;;;;;;;;;
Amphion;3;1;1;74_Amp_9;46,39798333;6,534183333;NNE;33,75;2;4;;;;;;;;;;;;;;;;;;
Anthy;2;1;1;74_Ant_1;46,35155;6,404266667;NNO;337,5;1;4;1;6;;18;4;;3;1;;1;;;;;;3;1;
Anthy;2;1;1;74_Ant_2;46,35158333;6,404566667;NNO;337,5;1;4;0;2;0;25;6;0;1;2;0;1;0;4;1;0;0;10;4;1
Anthy;2;1;1;74_Ant_3;46,35163333;6,404833333;NNO;337,5;1;4;9;8;;32;12;;;1;;;8;;;;;;1;
Anthy;2;1;1;74_Ant_4;46,35153333;6,4043;NNO;337,5;2;4;;;;;;;;;;;;;;;;;;
Anthy;2;1;1;74_Ant_5;46,35153333;6,4045;NNO;337,5;2;4;;;;;;;;;;;;;;;;;;
Anthy;2;1;1;74_Ant_6;46,35156667;6,404733333;NNO;337,5;2;4;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_1;46,34981667;6,3595;NE;45;1;1;8;13;0;31;32;0;3;8;1;0;0;1;0;0;0;13;8;0
Excenevex;3;1;1;74_Exc_10;46,34936667;6,35955;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_11;46,34966667;6,35965;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_12;46,3496;6,359766667;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_13;46,34953333;6,359866667;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_14;46,34946667;6,35995;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_15;46,34938333;6,360083333;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_16;46,34963333;6,35945;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_17;46,34958333;6,359533333;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_18;46,34948333;6,359666667;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_19;46,34941667;6,359783333;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_2;46,34978333;6,359583333;NE;45;1;1;43;23;2;98;18;;;;;;;;2;1;1;2;;
Excenevex;3;1;1;74_Exc_20;46,34931667;6,360016667;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_21;46,34955;6,359433333;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_22;46,3495;6,35955;NE;45;2;1;11;1;0;85;13;0;5;4;8;18;22;2;0;1;0;9;0;0
Excenevex;3;1;1;74_Exc_23;46,34943333;6,35965;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_24;46,34935;6,359816667;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_25;46,34926667;6,35995;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_26;46,3495;6,359383333;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_27;46,34946667;6,35962;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_28;46,3494;6,359616667;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_29;46,34998333;6,359716667;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_3;46,34973333;6,359666667;NE;45;1;1;13;30;0;51;15;0;3;2;3;2;1;0;0;2;1;6;1;0
Excenevex;3;1;1;74_Exc_30;46,34928333;6,359816667;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_31;46,34943333;6,359366667;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_32;46,34938333;6,359516667;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_33;46,34928333;6,359616667;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_34;46,34935;6,3594;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_35;46,34925;6,3596;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_36;46,34928333;6,35945;NE;45;2;1;;;;;;;;;;;;;;;;;;
Excenevex;3;1;1;74_Exc_4;46,34965;6,359816667;NE;45;1;1;8;2;2;20;7;0;2;0;0;0;1;0;0;0;0;8;1;0
Excenevex;3;1;1;74_Exc_5;46,3496;6,359933333;NE;45;1;1;1;2;;23;7;;;;;1;;;2;;;;2;
Excenevex;3;1;1;74_Exc_6;46,34955;6,360016667;NE;45;1;1;26;16;;73;10;;;1;;1;;1;;;;;;
Excenevex;3;1;1;74_Exc_7;46,34948333;6,360116667;NE;45;1;1;30;16;1;62;11;;;;;;;;1;;;2;;
Excenevex;3;1;1;74_Exc_8;46,3494;6,360266667;NE;45;1;1;26;9;;86;5;;;;;;;;;1;;;1;
Excenevex;3;1;1;74_Exc_9;46,34976667;6,359433333;NE;45;2;1;;;;;;;;;;;;;;;;;;
Lugrin;2;1;2;74_Lug_1;46,40485;6,667833333;NNE;337,5;1;4;28;10;1;38;32;1;8;3;0;1;0;0;3;0;0;1;0;0
Lugrin;2;1;2;74_Lug_2;46,40485;6,66805;N;337,5;1;4;4;10;1;89;21;1;0;0;0;2;1;0;1;0;0;5;0;0
Lugrin;2;1;2;74_Lug_3;46,40483333;6,668216667;NNO;337,5;1;4;1;6;2;38;18;1;0;0;0;1;0;0;0;0;0;5;0;0
Lugrin;2;1;2;74_Lug_4;46,40476667;6,667916667;N;337,5;2;4;;;;;;;;;;;;;;;;;;
Lugrin;2;1;2;74_Lug_5;46,4048;6,668133333;N;0;2;4;;;;;;;;;;;;;;;;;;
Meillerie;1;2;3;74_Mei_1;46,40773333;6,716533333;N;0;1;2;1;;1;16;8;;1;;;;25;;;1;;3;1;
Saint-Disdille;2;1;1;74_StD_1;46,40105;6,502066667;N;331,875;1;4;8;7;0;37;27;0;7;0;1;0;7;0;0;0;0;2;0;0
Saint-Disdille;2;1;1;74_StD_2;46,40106667;6,502333333;N;331,875;1;4;19;36;0;116;49;1;2;4;0;7;0;1;1;0;0;10;0;0
Saint-Disdille;2;1;1;74_StD_3;46,40106667;6,502516667;NNO;331,875;1;4;22;37;1;159;38;4;6;9;1;21;0;6;8;3;1;17;0;1
Saint-Disdille;2;1;1;74_StD_4;46,4011;6,502683333;NNO;331,875;1;4;8;7;1;71;28;0;4;2;0;1;1;0;0;2;0;6;0;0
Saint-Disdille;2;1;1;74_StD_5;46,40115;6,50275;NNO;331,875;1;4;5;12;;99;;;1;;;;;;;;;;;
Saint-Disdille;2;1;1;74_StD_6;46,40126667;6,502916667;NO;315;1;4;29;13;1;25;45;0;36;2;0;1;0;1;0;1;0;1;0;0
