Lieu;Aire;Temps;Position;Substrat;Date;Saison;Objet;Code;OPSAR;UNEP;Quantité;Poids;;;
Amphion;342;170;2;4;18.10.2022;4;Emballage alimentaire en mousse;G10;6;PL06;1;0,027;0,002923977;27;
Amphion;98;50;1;4;18.10.2022;4;Morceaux/fragments de plastique arrondis de moins de 5mm;G103;;;7;0,000147;0,071428571;0,021;
Amphion;342;170;2;4;18.10.2022;4;Morceaux/fragments de plastique anguleux de moins de 5mm;G106;;;17;0,000357;0,049707602;0,021;
Amphion;342;170;2;4;19.07.2022;3;Pellets/Nurdles industriels;G112;;PL23;1;0,000025;0,002923977;0,025;
Amphion;98;50;1;4;01.02.2022;1;Filaments de plastique de moins de 5 mm;G113;;;1;0,00002;0,010204082;0,02;
Amphion;98;50;1;4;18.10.2022;4;Filaments de plastique de moins de 5 mm;G113;;;4;0,00008;0,040816327;0,02;
Amphion;342;170;2;4;18.10.2022;4;Filaments de plastique de moins de 5 mm;G113;;;7;0,00014;0,020467836;0,02;
Amphion;98;50;1;4;01.02.2022;1;Film plastique non-alimentaire de moins de 5 mm;G114;;;4;0,000012;0,040816327;0,003;
Amphion;342;170;2;4;01.02.2022;1;Film plastique non-alimentaire de moins de 5 mm;G114;;;36;0,000108;0,105263158;0,003;
Amphion;98;50;1;4;19.07.2022;3;Film plastique non-alimentaire de moins de 5 mm;G114;;;9;0,000027;0,091836735;0,003;
Amphion;342;170;2;4;19.07.2022;3;Film plastique non-alimentaire de moins de 5 mm;G114;;;23;0,000069;0,067251462;0,003;
Amphion;342;170;2;4;18.10.2022;4;Film plastique non-alimentaire de moins de 5 mm;G114;;;14;0,000042;0,040935673;0,003;
Amphion;98;50;1;4;18.10.2022;4;Film plastique non-alimentaire de moins de 5 mm;G114;;;17;0,000051;0,173469388;0,003;
Amphion;342;170;2;4;18.10.2022;4;Sagex-EPS/Polystirène expensé de moins de 5mm;G117;;;6;1,13208E-05;0,01754386;0,001886792;0,001886792
Amphion;98;50;1;4;19.07.2022;3;Ballon de baudruche;G125;49;RB01;1;0,0008;0,010204082;0,8;0,8
Amphion;342;170;2;4;01.02.2022;1;Bande élastique;G131;;;1;0,00028;0,002923977;0,28;0,28
Amphion;342;170;2;4;03.05.2022;2;Bande élastique;G131;;;1;0,00028;0,002923977;0,28;0,28
Amphion;342;170;2;4;19.07.2022;3;Chausette;G135;;CL01;1;0,015;0,002923977;15;
Amphion;342;170;2;4;19.07.2022;3;Ceinture en tissus;G145;59;CL06;1;0,1;0,002923977;100;
Amphion;342;170;2;4;01.02.2022;1;Emballage boîte en carton;G148;61;PC02;1;0,075;0,002923977;75;
Amphion;342;170;2;4;18.10.2022;4;Sac plastique/Cabas plastique;G2;;PL07;1;0,02;0,002923977;20;20
Amphion;98;50;1;4;19.07.2022;3;Sachet plastique;G2;;PL07;1;0,0002;0,010204082;0,2;
Amphion;342;170;2;4;01.02.2022;1;Bouchon/capuchon PET;G21;15;PL01;23;0,04025;0,067251462;1,75;1,75
Amphion;98;50;1;4;01.02.2022;1;Couvercle/capuchon/bouchon plastique PET;G21;15;PL01;3;0,012;0,030612245;4;
Amphion;342;170;2;4;01.02.2022;1;Couvercle/capuchon/bouchon plastique PET;G21;15;PL01;125;0,5;0,365497076;4;
Amphion;342;170;2;4;03.05.2022;2;Couvercle/capuchon/bouchon plastique PET;G21;15;PL01;30;0,12;0,087719298;4;
Amphion;342;170;2;4;19.07.2022;3;Couvercle/capuchon/bouchon plastique PET;G21;15;PL01;12;0,048;0,035087719;4;
Amphion;98;50;1;4;19.07.2022;3;Couvercle/capuchon/bouchon plastique PET;G21;15;PL01;17;0,068;0,173469388;4;
Amphion;98;50;1;4;18.10.2022;4;Couvercle/capuchon/bouchon plastique PET;G21;15;PL01;12;0,048;0,12244898;4;
Amphion;342;170;2;4;18.10.2022;4;Couvercle/capuchon/bouchon plastique PET;G21;15;PL01;18;0,072;0,052631579;4;
Amphion;342;170;2;4;01.02.2022;1;Pansement/Sparadrap/Bande;G211;105;OT05;2;0,0004;0,005847953;0,2;0,2
Amphion;342;170;2;4;03.05.2022;2;Pansement/Sparadrap/Bande;G211;105;OT05;2;0,0004;0,005847953;0,2;0,2
Amphion;98;50;1;4;19.07.2022;3;Pansement/Sparadrap/Bande;G211;105;OT05;1;0,0002;0,010204082;0,2;0,2
Amphion;342;170;2;4;19.07.2022;3;Pansement/Sparadrap/Bande;G211;105;OT05;4;0,0008;0,011695906;0,2;0,2
Amphion;98;50;1;4;18.10.2022;4;Pansement/Sparadrap/Bande;G211;105;OT05;1;0,0002;0,010204082;0,2;0,2
Amphion;342;170;2;4;03.05.2022;2;Bouchons en plastiques agglomérés de bouteille de vin;G23;15;PL01;1;0,001;0,002923977;1;
Amphion;98;50;1;4;01.02.2022;1;Couvercle en plastique non-identifié;G23;15;PL01;1;0,007;0,010204082;7;
Amphion;342;170;2;4;18.10.2022;4;Couvercle en plastique non-identifié;G23;15;PL01;24;0,168;0,070175439;7;
Amphion;98;50;1;4;01.02.2022;1;Anneau plastique bouteille;G24;15;PL01;2;0,0002;0,020408163;0,1;
Amphion;342;170;2;4;01.02.2022;1;Anneau plastique bouteille;G24;15;PL01;42;0,0042;0,122807018;0,1;
Amphion;342;170;2;4;03.05.2022;2;Anneau plastique bouteille;G24;15;PL01;5;0,0005;0,014619883;0,1;
Amphion;98;50;1;4;19.07.2022;3;Anneau plastique bouteille;G24;15;PL01;5;0,0005;0,051020408;0,1;
Amphion;342;170;2;4;19.07.2022;3;Anneau plastique bouteille;G24;15;PL01;11;0,0011;0,032163743;0,1;
Amphion;98;50;1;4;18.10.2022;4;Anneau plastique bouteille;G24;15;PL01;9;0,0009;0,091836735;0,1;
Amphion;342;170;2;4;18.10.2022;4;Anneau plastique bouteille;G24;15;PL01;11;0,0011;0,032163743;0,1;
Amphion;342;170;2;4;18.10.2022;4;Paquet de cigarettes;G25;;;1;0,008;0,002923977;8;
Amphion;98;50;1;4;18.10.2022;4;Mégot de cigare;G27;64;PL11;1;0,0007;0,010204082;0,7;
Amphion;342;170;2;4;01.02.2022;1;Mégot de cigarette;G27;64;PL11;4;0,00088;0,011695906;0,22;
Amphion;98;50;1;4;03.05.2022;2;Mégot de cigarette;G27;64;PL11;1;0,00022;0,010204082;0,22;
