location,loc_date,Orientation,latitude,longitude,position,substrate,area,time,length
Amphion,74_Amp_1,NE,46.39811667,6.534083333,1,4,98,50,91
Amphion,74_Amp_10,NNE,46.3979,6.53445,2,4,98,50,91
Amphion,74_Amp_2,NNE,46.39801667,6.53425,1,4,98,50,91
Amphion,74_Amp_3,NE,46.398,6.53435,1,4,98,50,91
Amphion,74_Amp_4,NNE,46.39791667,6.534583333,1,4,98,50,91
Amphion,74_Amp_5,NE,46.3981,6.5341,2,4,342,170,91
Amphion,74_Amp_6,NE,46.39803333,6.53415,2,4,342,170,91
Amphion,74_Amp_7,NE,46.39795,6.53435,2,4,342,170,91
Amphion,74_Amp_8,NNE,46.3979,6.53455,2,4,342,170,91
Amphion,74_Amp_9,NNE,46.39798333,6.534183333,2,4,342,170,91
Anthy,74_Ant_1,NNO,46.35155,6.404266667,1,4,62,30,85
Anthy,74_Ant_2,NNO,46.35158333,6.404566667,1,4,62,30,85
Anthy,74_Ant_3,NNO,46.35163333,6.404833333,1,4,62,30,85
Anthy,74_Ant_4,NNO,46.35153333,6.4043,2,4,211,95,85
Anthy,74_Ant_5,NNO,46.35153333,6.4045,2,4,211,95,85
Anthy,74_Ant_6,NNO,46.35156667,6.404733333,2,4,211,95,85
Excenevex,74_Exc_1,NE,46.34981667,6.3595,1,1,175,90,120
Excenevex,74_Exc_10,NE,46.34936667,6.35955,2,1,1803,900,120
Excenevex,74_Exc_11,NE,46.34966667,6.35965,2,1,1803,900,120
Excenevex,74_Exc_12,NE,46.3496,6.359766667,2,1,1803,900,120
Excenevex,74_Exc_13,NE,46.34953333,6.359866667,2,1,1803,900,120
Excenevex,74_Exc_14,NE,46.34946667,6.35995,2,1,1803,900,120
Excenevex,74_Exc_15,NE,46.34938333,6.360083333,2,1,1803,900,120
Excenevex,74_Exc_16,NE,46.34963333,6.35945,2,1,1803,900,120
Excenevex,74_Exc_17,NE,46.34958333,6.359533333,2,1,1803,900,120
Excenevex,74_Exc_18,NE,46.34948333,6.359666667,2,1,1803,900,120
Excenevex,74_Exc_19,NE,46.34941667,6.359783333,2,1,1803,900,120
Excenevex,74_Exc_2,NE,46.34978333,6.359583333,1,1,175,90,120
Excenevex,74_Exc_20,NE,46.34931667,6.360016667,2,1,1803,900,120
Excenevex,74_Exc_21,NE,46.34955,6.359433333,2,1,1803,900,120
Excenevex,74_Exc_22,NE,46.3495,6.35955,2,1,1803,900,120
Excenevex,74_Exc_23,NE,46.34943333,6.35965,2,1,1803,900,120
Excenevex,74_Exc_24,NE,46.34935,6.359816667,2,1,1803,900,120
Excenevex,74_Exc_25,NE,46.34926667,6.35995,2,1,1803,900,120
Excenevex,74_Exc_26,NE,46.3495,6.359383333,2,1,1803,900,120
Excenevex,74_Exc_27,NE,46.34946667,6.35962,2,1,1803,900,120
Excenevex,74_Exc_28,NE,46.3494,6.359616667,2,1,1803,900,120
Excenevex,74_Exc_29,NE,46.34998333,6.359716667,2,1,1803,900,120
Excenevex,74_Exc_3,NE,46.34973333,6.359666667,1,1,175,90,120
Excenevex,74_Exc_30,NE,46.34928333,6.359816667,2,1,1803,900,120
Excenevex,74_Exc_31,NE,46.34943333,6.359366667,2,1,1803,900,120
Excenevex,74_Exc_32,NE,46.34938333,6.359516667,2,1,1803,900,120
Excenevex,74_Exc_33,NE,46.34928333,6.359616667,2,1,1803,900,120
Excenevex,74_Exc_34,NE,46.34935,6.3594,2,1,1803,900,120
Excenevex,74_Exc_35,NE,46.34925,6.3596,2,1,1803,900,120
Excenevex,74_Exc_36,NE,46.34928333,6.35945,2,1,1803,900,120
Excenevex,74_Exc_4,NE,46.34965,6.359816667,1,1,175,90,120
Excenevex,74_Exc_5,NE,46.3496,6.359933333,1,1,175,90,120
Excenevex,74_Exc_6,NE,46.34955,6.360016667,1,1,175,90,120
Excenevex,74_Exc_7,NE,46.34948333,6.360116667,1,1,175,90,120
Excenevex,74_Exc_8,NE,46.3494,6.360266667,1,1,175,90,120
Excenevex,74_Exc_9,NE,46.34976667,6.359433333,2,1,1803,900,120
Lugrin,74_Lug_1,NNE,46.40485,6.667833333,1,4,72,35,70
Lugrin,74_Lug_2,N,46.40485,6.66805,1,4,72,35,70
Lugrin,74_Lug_3,NNO,46.40483333,6.668216667,1,4,72,35,70
Lugrin,74_Lug_4,N,46.40476667,6.667916667,2,4,159,80,70
Lugrin,74_Lug_5,N,46.4048,6.668133333,2,4,159,80,70
Meillerie,74_Mei_1,N,46.40773333,6.716533333,1,2,53,7,25
Saint-Disdille,74_StD_1,N,46.40105,6.502066667,1,4,75,30,100
Saint-Disdille,74_StD_2,N,46.40106667,6.502333333,1,4,75,30,100
Saint-Disdille,74_StD_3,NNO,46.40106667,6.502516667,1,4,75,30,100
