p,E,z,m,fr,fb,fj,fw,fn,fa,fdr,fdb,fdj,fdw,fdn,fda,fsr,fsb,fsj,fsw,fsn,fsa
Hermance,GE_Her_1,1,3,4,14,0,51,10,0,2,1,0,0,0,0,0,0,0,0,0,0
Hermance,GE_Her_2,1,3,3,2,,15,5,,,1,,,,,,,,,,
Hermance,GE_Her_3,1,3,5,7,2,26,29,,,3,,1,,,,,,,,
Hermance,GE_Her_4,1,3,6,12,1,24,32,1,4,1,0,3,1,0,0,0,0,0,0,0
Hermance,GE_Her_5,2,3,,,,,,,,,,,,,,,,,,
Hermance,GE_Her_6,2,3,,,,,,,,,,,,,,,,,,
Hermance,GE_Her_7,2,3,,,,,,,,,,,,,,,,,,
Hermance,GE_Her_8,2,3,,,,,,,,,,,,,,,,,,
Hermance,GE_Her_9,2,3,,,,,,,,,,,,,,,,,,
Savonière,GE_Sav_1,1,4,7,10,0,69,23,1,1,2,0,7,0,0,0,0,0,0,0,0
Savonière,GE_Sav_2,1,4,,1,,13,10,,,1,,1,,,,,,,,
Savonière,GE_Sav_3,1,4,10,39,4,116,41,0,9,13,4,6,0,2,0,0,0,0,0,0
Savonière,GE_Sav_4,2,2,,,,,,,,,,,,,,,,,,
Savonière,GE_Sav_5,2,2,,,,,,,,,,,,,,,,,,
Savonière,GE_Sav_6,2,2,,,,,,,,,,,,,,,,,,
Savonière,GE_Sav_7,2,2,,,,,,,,,,,,,,,,,,
Savonière,GE_Sav_8,2,2,,,,,,,,,,,,,,,,,,
Savonière,GE_Sav_9,2,2,,,,,,,,,,,,,,,,,,
Baby Plage,GE_Bab_1,1,1,4,11,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Baby Plage,GE_Bab_2,1,1,4,16,1,83,16,2,2,0,0,1,0,0,0,0,0,0,0,0
Baby Plage,GE_Bab_3,1,1,3,3,0,17,8,0,0,0,0,0,1,0,0,0,0,0,0,0
Baby Plage,GE_Bab_4,1,1,6,2,0,7,6,0,2,0,2,1,0,1,0,0,0,0,0,0
Baby Plage,GE_Bab_5,1,1,7,26,0,53,33,0,0,14,0,3,2,0,0,0,0,0,0,0
Baby Plage,GE_Bab_6,2,1,4,11,0,23,13,0,2,1,1,1,2,1,0,0,0,0,0,0
Baby Plage,GE_Bab_7,2,1,7,10,1,47,22,1,4,1,0,3,2,2,0,0,0,0,0,0
Baby Plage,GE_Bab_8,2,1,16,38,2,76,70,1,4,6,1,2,2,1,0,0,0,3,1,0
Baby Plage,GE_Bab_9,2,1,,,,,,,,,,,,,,,,,,
Baby Plage,GE_Bab_10,2,1,,,,,,,,,,,,,,,,,,
Baby Plage,GE_Bab_11,2,1,,,,,,,,,,,,,,,,,,
Baby Plage,GE_Bab_12,2,1,,,,,,,,,,,,,,,,,,
Versoix,GE_Ver_1,1,3,2,10,,37,10,,,,,,3,,,,,,,
Versoix,GE_Ver_2,1,3,7,26,0,64,36,1,2,0,1,3,3,1,0,0,0,2,0,0
Versoix,GE_Ver_3,1,3,4,21,1,39,21,3,,,,,1,,,,,,,
Versoix,GE_Ver_4,2,3,8,13,0,40,19,4,3,2,1,5,3,3,0,0,0,0,0,0
Port Choiseul,GE_Por_1,1,3,,,,,,,,,,,,,,,,,,
Port Choiseul,GE_Por_2,1,3,,,,,,,,,,,,,,,,,,
Port Choiseul,GE_Por_3,1,3,,,,,,,,,,,,,,,,,,
Port Choiseul,GE_Por_4,1,3,,,,,,,,,,,,,,,,,,
Port Choiseul,GE_Por_5,1,3,,,,,,,,,,,,,,,,,,
Port Choiseul,GE_Por_6,1,3,,,,,,,,,,,,,,,,,,
Port Choiseul,GE_Por_7,2,3,,,,,,,,,,,,,,,,,,
Port Choiseul,GE_Por_8,2,3,,,,,,,,,,,,,,,,,,
