Plage,echantillon,position,substrat,fbr,fbb,fbj,fbt,fbn,fba,frr,frb,frj,frt,frn,fra,fsr,fsb,fsj,fst,fsn,fsa,added,fibres,fdure,souple,fragments,frequentation,situation,distance,orientation
Amphion,74_Amp_1,1,4,3.0,10.0,0.0,66.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0.0,0.0,0.0,3.0,1.0,1.0,NE
Amphion,74_Amp_10,2,4,10.0,17.0,1.0,78.0,34.0,0.0,16.0,0.0,0.0,21.0,1.0,0.0,6.0,0.0,0.0,17.0,1.0,0.0,202.0,140.0,38.0,24.0,62.0,3.0,1.0,1.0,NNE
Amphion,74_Amp_2,1,4,5.0,8.0,0.0,88.0,20.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,136.0,121.0,3.0,12.0,15.0,3.0,1.0,1.0,NNE
Amphion,74_Amp_3,1,4,3.0,2.0,1.0,17.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,3.0,1.0,1.0,NE
Amphion,74_Amp_4,1,4,5.0,11.0,0.0,146.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,182.0,179.0,2.0,1.0,3.0,3.0,1.0,1.0,NNE
Amphion,74_Amp_5,2,4,2.0,1.0,0.0,61.0,6.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,83.0,70.0,6.0,7.0,13.0,3.0,1.0,1.0,NE
Amphion,74_Amp_6,2,4,5.0,14.0,1.0,136.0,8.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,188.0,167.0,7.0,14.0,21.0,3.0,1.0,1.0,NE
Amphion,74_Amp_7,2,4,0.0,4.0,0.0,37.0,3.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,55.0,44.0,9.0,2.0,11.0,3.0,1.0,1.0,NE
Amphion,74_Amp_8,2,4,1.0,5.0,0.0,19.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,51.0,46.0,1.0,4.0,5.0,3.0,1.0,1.0,NNE
Amphion,74_Amp_9,2,4,15.0,17.0,5.0,115.0,51.0,2.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,225.0,205.0,13.0,7.0,20.0,3.0,1.0,1.0,NNE
Anthy,74_Ant_1,1,4,1.0,6.0,0.0,18.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,38.0,29.0,5.0,4.0,9.0,2.0,1.0,1.0,NNO
Anthy,74_Ant_2,1,4,0.0,2.0,0.0,25.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,10.0,4.0,1.0,57.0,33.0,8.0,16.0,24.0,2.0,1.0,1.0,NNO
Anthy,74_Ant_3,1,4,9.0,8.0,0.0,32.0,12.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,61.0,9.0,1.0,10.0,2.0,1.0,1.0,NNO
Anthy,74_Ant_4,2,4,6.0,24.0,0.0,118.0,18.0,0.0,3.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,200.0,166.0,13.0,21.0,34.0,2.0,1.0,1.0,NNO
Anthy,74_Ant_5,2,4,9.0,8.0,2.0,55.0,31.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,115.0,105.0,4.0,6.0,10.0,2.0,1.0,1.0,NNO
Anthy,74_Ant_6,2,4,8.0,17.0,0.0,93.0,37.0,1.0,3.0,3.0,3.0,6.0,1.0,0.0,0.0,2.0,1.0,29.0,0.0,0.0,204.0,156.0,16.0,32.0,48.0,2.0,1.0,1.0,NNO
