Plage,frequentation,situation,distance,orientation,x,y
Amphion,3,1,1,NE,46.39811667,6.534083333
Anthy,2,1,1,NNO,46.35155,6.404266667
Excenevex,3,1,1,NE,46.34981667,6.3595
Lugrin,2,1,2,NNE,46.40485,6.667833333
Meillerie,1,2,3,N,46.40773333,6.716533333
Saint-Disdille,2,1,1,N,46.40105,6.502066667
Tougues,3,1,2,NO,46.32471667,6.256883333
Baby Plage,3,2,2,NNE,46.20878333,6.16285
Hermance,3,2,2,OSO,46.30358333,6.240833333
Port Choiseul,3,2,2,NE,46.28966667,6.170716667
Savonnière,3,1,1,NO,46.26413333,6.199733333
Versoix,3,1,2,ESE,46.27405,6.171316667
Aubonne,2,1,4,ONO,46.46026667,6.39115
Clarens,3,2,1,SSO,46.43941667,6.889566667
Crans,1,1,3,SSE,46.35538333,6.214033333
Cully,1,1,1,SO,46.48895,6.7414
Gland,2,1,1,E,46.4188,6.290033333
Grangettes,2,1,2,NO,46.39621667,6.886716667
Lutry,3,2,2,SSE,46.49995,6.69245
Pichette,2,1,1,SSE,46.46991667,6.815783333
Préverenges,3,1,2,SO,46.51141667,6.529916667
Rolle,3,2,1,SSO,46.46133333,6.350633333
Tolochenaz,1,1,4,SE,46.4917,6.48075
Vidy,3,2,2,SO,46.51121667,6.6109
Bouveret,3,1,2,ONO,46.389,6.859816667
