slug,attribute,attribute_type,area,dry,scale
aabach,Baumschule,land-use,2525,4967000,0.00050835514395
aabach,Friedhof,land-use,3678,4967000,0.0007404872156231
aabach,Schul- und Hochschulareal,land-use,25974,4967000,0.0052293134688947
aabach,Wald nicht bestockt,land-use,2833,4967000,0.0005703644050734
aare-limmatspitz,Abwasserreinigungsareal,land-use,10719,7065000,0.0015171974522292
aare-limmatspitz,Friedhof,land-use,17541,7065000,0.0024828025477707
aare-limmatspitz,Historisches Areal,land-use,1966,7065000,0.0002782731776362
aare-limmatspitz,Kraftwerkareal,land-use,1528,7065000,0.0002162774239207
aare-limmatspitz,Schrebergartenareal,land-use,3161,7065000,0.0004474168435951
aare-limmatspitz,Schul- und Hochschulareal,land-use,32744,7065000,0.004634677990092
aare-limmatspitz,Truppenuebungsplatz,land-use,74200,7065000,0.0105024769992922
aare-limmatspitz,Unterwerkareal,land-use,3995,7065000,0.0005654635527246
aare-limmatspitz,Wald nicht bestockt,land-use,6573,7065000,0.0009303609341825
aare-port,Abwasserreinigungsareal,land-use,30395,7065000,0.0043021939136588
aare-port,Baumschule,land-use,24115,7065000,0.0034133050247699
aare-port,Friedhof,land-use,84593,7065000,0.0119735314932767
aare-port,Historisches Areal,land-use,48192,7065000,0.0068212314225053
aare-port,Kehrichtverbrennungsareal,land-use,21345,7065000,0.0030212314225053
aare-port,Kraftwerkareal,land-use,16259,7065000,0.0023013446567586
aare-port,Schrebergartenareal,land-use,93058,7065000,0.0131716914366595
aare-port,Schul- und Hochschulareal,land-use,41710,7065000,0.0059037508846426
aare-solothurn-lido-strand,Abwasserreinigungsareal,land-use,472,7065000,6.680820948336872e-05
aare-solothurn-lido-strand,Historisches Areal,land-use,2838,7065000,0.0004016985138004
aare-solothurn-lido-strand,Schrebergartenareal,land-use,28770,7065000,0.004072186836518
aare-solothurn-lido-strand,Schul- und Hochschulareal,land-use,52816,7065000,0.0074757254069355
aare-solothurn-lido-strand,Spitalareal,land-use,98764,7065000,0.0139793347487615
aare_bern_caveltin,Baumschule,land-use,12592,7065000,0.0017823071479122
aare_bern_caveltin,Friedhof,land-use,21010,7065000,0.0029738145789101
aare_bern_caveltin,Historisches Areal,land-use,21386,7065000,0.00302703467799
aare_bern_caveltin,Oeffentliches Parkareal,land-use,137649,7065000,0.0194832271762208
aare_bern_caveltin,Schrebergartenareal,land-use,21278,7065000,0.0030117480537862
aare_bern_caveltin,Schul- und Hochschulareal,land-use,56951,7065000,0.0080610049539985
aare_bern_gerberm,Abwasserreinigungsareal,land-use,19049,7065000,0.0026962491153573
aare_bern_gerberm,Baumschule,land-use,4494,7065000,0.000636093418259
aare_bern_gerberm,Friedhof,land-use,15313,7065000,0.0021674451521585
aare_bern_gerberm,Historisches Areal,land-use,492892,7065000,0.069765322009908
aare_bern_gerberm,Schrebergartenareal,land-use,22461,7065000,0.0031791932059447
aare_bern_gerberm,Schul- und Hochschulareal,land-use,240820,7065000,0.0340863411181882
aare_bern_gerberm,Spitalareal,land-use,5071,7065000,0.0007177636234961
aare_bern_scheurerk,Abwasserreinigungsareal,land-use,21691,7065000,0.0030702052370842
aare_bern_scheurerk,Friedhof,land-use,18163,7065000,0.0025708421797593
aare_bern_scheurerk,Historisches Areal,land-use,1075626,7065000,0.1522471337579617
aare_bern_scheurerk,Kraftwerkareal,land-use,4928,7065000,0.0006975230007077
aare_bern_scheurerk,Messeareal,land-use,4820,7065000,0.0006822363765038
aare_bern_scheurerk,Oeffentliches Parkareal,land-use,58756,7065000,0.0083164897381457
aare_bern_scheurerk,Schrebergartenareal,land-use,96387,7065000,0.0136428874734607
aare_bern_scheurerk,Schul- und Hochschulareal,land-use,136021,7065000,0.0192527954706298
aare_bern_scheurerk,Spitalareal,land-use,50361,7065000,0.007128237791932
aare_bern_scheurerk,Truppenuebungsplatz,land-use,30346,7065000,0.0042952583156404
aare_bern_scheurerk,Unterwerkareal,land-use,21031,7065000,0.0029767869780608
aare_brugg_buchie,Abwasserreinigungsareal,land-use,10719,7065000,0.0015171974522292
aare_brugg_buchie,Friedhof,land-use,6730,7065000,0.0009525831564048
aare_brugg_buchie,Kraftwerkareal,land-use,1528,7065000,0.0002162774239207
aare_brugg_buchie,Schrebergartenareal,land-use,36723,7065000,0.0051978768577494
aare_brugg_buchie,Schul- und Hochschulareal,land-use,72495,7065000,0.0102611464968152
aare_brugg_buchie,Truppenuebungsplatz,land-use,74200,7065000,0.0105024769992922
aare_brugg_buchie,Unterwerkareal,land-use,3995,7065000,0.0005654635527246
aare_brugg_buchie,Wald nicht bestockt,land-use,6438,7065000,0.0009112526539278
aare_elfenau_cataldiv,Baumschule,land-use,12592,7062611,0.0017829100314317
aare_elfenau_cataldiv,Friedhof,land-use,18160,7062611,0.002571287021188
aare_elfenau_cataldiv,Oeffentliches Parkareal,land-use,151231,7062611,0.0214129023954455
aare_elfenau_cataldiv,Schrebergartenareal,land-use,12614,7062611,0.0017860250267217
aare_elfenau_cataldiv,Schul- und Hochschulareal,land-use,124619,7062611,0.017644890820123
aare_kehrsatz_stolten,Baumschule,land-use,5436,7065000,0.0007694267515923
aare_kehrsatz_stolten,Friedhof,land-use,27206,7065000,0.003850813871196
aare_kehrsatz_stolten,Historisches Areal,land-use,21386,7065000,0.00302703467799
aare_kehrsatz_stolten,Schrebergartenareal,land-use,25147,7065000,0.0035593772116065
aare_kehrsatz_stolten,Schul- und Hochschulareal,land-use,63719,7065000,0.009018966737438
aare_koniz_hoppej,Baumschule,land-use,12592,7053413,0.0017852350344436
aare_koniz_hoppej,Friedhof,land-use,18160,7053413,0.0025746401068532
aare_koniz_hoppej,Kraftwerkareal,land-use,368,7053413,5.2173323751210936e-05
aare_koniz_hoppej,Oeffentliches Parkareal,land-use,204087,7053413,0.0289345030554711
aare_koniz_hoppej,Schrebergartenareal,land-use,14062,7053413,0.0019936447787758
aare_koniz_hoppej,Schul- und Hochschulareal,land-use,159398,7053413,0.0225987050524334
aare_koniz_hoppej,Spitalareal,land-use,1330,7053413,0.000188561197253
aare_post,Abwasserreinigungsareal,land-use,30395,7065000,0.0043021939136588
aare_post,Baumschule,land-use,24115,7065000,0.0034133050247699
aare_post,Friedhof,land-use,84593,7065000,0.0119735314932767
aare_post,Historisches Areal,land-use,48794,7065000,0.0069064401981599
aare_post,Kehrichtverbrennungsareal,land-use,21345,7065000,0.0030212314225053
aare_post,Kraftwerkareal,land-use,16259,7065000,0.0023013446567586
aare_post,Schrebergartenareal,land-use,117288,7065000,0.0166012738853503
aare_post,Schul- und Hochschulareal,land-use,35097,7065000,0.0049677282377919
aare_rupperswil_badert,Baumschule,land-use,13243,7043473,0.0018801804166779
aare_rupperswil_badert,Friedhof,land-use,3978,7043473,0.0005647781996182
aare_rupperswil_badert,Kraftwerkareal,land-use,16753,7043473,0.0023785141222235
aare_rupperswil_badert,Schul- und Hochschulareal,land-use,4216,7043473,0.0005985683483133
aare_rupperswil_badert,Unterwerkareal,land-use,31175,7043473,0.0044260835528154
aare_solothurn_nguyena,Historisches Areal,land-use,14172,7065000,0.0020059447983014
aare_solothurn_nguyena,Massnahmenvollzugsanstaltsareal,land-use,2723,7065000,0.0003854210898796
aare_solothurn_nguyena,Oeffentliches Parkareal,land-use,416,7065000,5.8881811748053786e-05
aare_solothurn_nguyena,Schrebergartenareal,land-use,28770,7065000,0.004072186836518
aare_solothurn_nguyena,Schul- und Hochschulareal,land-use,69349,7065000,0.0098158527954706
aare_solothurn_nguyena,Spitalareal,land-use,107144,7065000,0.0151654635527247
aare_suhrespitz_badert,Abwasserreinigungsareal,land-use,28039,7065000,0.0039687190375088
aare_suhrespitz_badert,Friedhof,land-use,7689,7065000,0.001088322717622
aare_suhrespitz_badert,Historisches Areal,land-use,2536,7065000,0.0003589525831564
aare_suhrespitz_badert,Kraftwerkareal,land-use,8573,7065000,0.0012134465675866
aare_suhrespitz_badert,Oeffentliches Parkareal,land-use,15818,7065000,0.002238924274593
aare_suhrespitz_badert,Schrebergartenareal,land-use,37926,7065000,0.005368152866242
aare_suhrespitz_badert,Schul- und Hochschulareal,land-use,80521,7065000,0.0113971691436659
aare_suhrespitz_badert,Unterwerkareal,land-use,1428,7065000,0.0002021231422505
aarezufluss_bern_scheurerk,Abwasserreinigungsareal,land-use,20147,7065000,0.0028516631280962
aarezufluss_bern_scheurerk,Baumschule,land-use,158,7065000,2.236376503892428e-05
aarezufluss_bern_scheurerk,Friedhof,land-use,18815,7065000,0.0026631280962491
aarezufluss_bern_scheurerk,Historisches Areal,land-use,1076241,7065000,0.1523341825902335
aarezufluss_bern_scheurerk,Kraftwerkareal,land-use,4928,7065000,0.0006975230007077
aarezufluss_bern_scheurerk,Messeareal,land-use,6547,7065000,0.0009266808209483
aarezufluss_bern_scheurerk,Oeffentliches Parkareal,land-use,61779,7065000,0.008744373673036
aarezufluss_bern_scheurerk,Schrebergartenareal,land-use,96340,7065000,0.0136362349610757
aarezufluss_bern_scheurerk,Schul- und Hochschulareal,land-use,135006,7065000,0.0191091295116772
aarezufluss_bern_scheurerk,Spitalareal,land-use,50361,7065000,0.007128237791932
aarezufluss_bern_scheurerk,Truppenuebungsplatz,land-use,30929,7065000,0.0043777777777777
aarezufluss_bern_scheurerk,Unterwerkareal,land-use,21762,7065000,0.00308025477707
anarchy-beach,Friedhof,land-use,21369,2548254,0.0083857417667155
anarchy-beach,Historisches Areal,land-use,11676,2548254,0.0045819608249413
anarchy-beach,Oeffentliches Parkareal,land-use,22427,2548254,0.0088009280079615
anarchy-beach,Schul- und Hochschulareal,land-use,101728,2548254,0.0399206672490261
arabie,Abwasserreinigungsareal,land-use,6481,3435483,0.0018864887411755
arabie,Friedhof,land-use,39674,3435483,0.0115483033972224
arabie,Historisches Areal,land-use,2340,3435483,0.0006811269332434
arabie,Oeffentliches Parkareal,land-use,47577,3435483,0.0138487077362921
arabie,Schul- und Hochschulareal,land-use,52096,3435483,0.0151640977411327
arve_carouge_battistellak,Friedhof,land-use,27052,7065000,0.0038290162774239
arve_carouge_battistellak,Kraftwerkareal,land-use,12158,7065000,0.0017208775654635
arve_carouge_battistellak,Oeffentliches Parkareal,land-use,78743,7065000,0.0111455060155697
arve_carouge_battistellak,Schrebergartenareal,land-use,33625,7065000,0.0047593772116065
arve_carouge_battistellak,Schul- und Hochschulareal,land-use,186860,7065000,0.0264486907289455
arve_carouge_battistellak,Spitalareal,land-use,60373,7065000,0.008545364472753
ascona-traghetto-spiaggia,Baumschule,land-use,3428,4642599,0.0007383795154395
ascona-traghetto-spiaggia,Friedhof,land-use,4019,4642599,0.0008656789009776
ascona-traghetto-spiaggia,Historisches Areal,land-use,8043,4642599,0.0017324347849125
ascona-traghetto-spiaggia,Oeffentliches Parkareal,land-use,71800,4642599,0.0154654752650401
ascona-traghetto-spiaggia,Schul- und Hochschulareal,land-use,38330,4642599,0.0082561513497073
augustmutzenbergstrandweg,Friedhof,land-use,11100,4117306,0.0026959375863732
augustmutzenbergstrandweg,Historisches Areal,land-use,9949,4117306,0.0024163858600745
augustmutzenbergstrandweg,Schul- und Hochschulareal,land-use,47932,4117306,0.0116415928279316
baby-plage-geneva,Historisches Areal,land-use,2044,4674735,0.0004372440362929
baby-plage-geneva,Oeffentliches Parkareal,land-use,525535,4674735,0.1124202762295616
baby-plage-geneva,Schul- und Hochschulareal,land-use,224364,4674735,0.047995020038569
baby-plage-geneva,Spitalareal,land-use,1318,4674735,0.0002819411153787
baby-plage-ii-geneve,Historisches Areal,land-use,2044,4573041,0.0004469673462363
baby-plage-ii-geneve,Oeffentliches Parkareal,land-use,503915,4573041,0.1101925392752875
baby-plage-ii-geneve,Schul- und Hochschulareal,land-use,222728,4573041,0.048704570984603
baby-plage-ii-geneve,Spitalareal,land-use,1318,4573041,0.0002882108426318
bain-des-dames,Friedhof,land-use,21369,3306956,0.0064618337830923
bain-des-dames,Historisches Areal,land-use,11676,3306956,0.0035307394473951
bain-des-dames,Oeffentliches Parkareal,land-use,29516,3306956,0.0089254287024078
bain-des-dames,Schul- und Hochschulareal,land-use,88823,3306956,0.0268594441534752
baye-de-clarens,Abwasserreinigungsareal,land-use,3065,3239859,0.0009460288240938
baye-de-clarens,Friedhof,land-use,29804,3239859,0.0091991657661645
baye-de-clarens,Historisches Areal,land-use,24163,3239859,0.0074580406122612
baye-de-clarens,Oeffentliches Parkareal,land-use,24797,3239859,0.0076537281406382
baye-de-clarens,Schul- und Hochschulareal,land-use,130994,3239859,0.0404320064546018
baye-de-clarens,Spitalareal,land-use,36407,3239859,0.0112372174221162
baye-de-montreux-d,Friedhof,land-use,196,3077448,6.36891346336315e-05
baye-de-montreux-d,Kraftwerkareal,land-use,3244,3077448,0.0010541201670994
baye-de-montreux-d,Oeffentliches Parkareal,land-use,15304,3077448,0.0049729516144545
baye-de-montreux-d,Schrebergartenareal,land-use,4351,3077448,0.0014138337999537
baye-de-montreux-d,Schul- und Hochschulareal,land-use,17968,3077448,0.0058386039341688
baye-de-montreux-d,Spitalareal,land-use,4329,3077448,0.0014066850195356
baye-de-montreux-g,Kraftwerkareal,land-use,3244,3060034,0.0010601189398549
baye-de-montreux-g,Oeffentliches Parkareal,land-use,15304,3060034,0.00500125162008
baye-de-montreux-g,Schrebergartenareal,land-use,4351,3060034,0.001421879626174
baye-de-montreux-g,Schul- und Hochschulareal,land-use,17968,3060034,0.005871830182279
baye-de-montreux-g,Spitalareal,land-use,4329,3060034,0.0014146901635733
beich,Abwasserreinigungsareal,land-use,5105,7065000,0.0007225760792639
beich,Kiesabbauareal,land-use,8409,7065000,0.0011902335456475
bern-fahrstrasse,Abwasserreinigungsareal,land-use,86088,7065000,0.0121851380042462
bern-fahrstrasse,Baumschule,land-use,5130,7065000,0.0007261146496815
bern-fahrstrasse,Friedhof,land-use,7163,7065000,0.0010138711960368
bern-fahrstrasse,Historisches Areal,land-use,1139641,7065000,0.1613079971691436
bern-fahrstrasse,Kraftwerkareal,land-use,4928,7065000,0.0006975230007077
bern-fahrstrasse,Oeffentliches Parkareal,land-use,41960,7065000,0.0059391365888181
bern-fahrstrasse,Schrebergartenareal,land-use,70986,7065000,0.0100475583864118
bern-fahrstrasse,Schul- und Hochschulareal,land-use,77945,7065000,0.0110325548478414
bern-fahrstrasse,Spitalareal,land-use,50361,7065000,0.007128237791932
bern-fahrstrasse,Unterwerkareal,land-use,1383,7065000,0.0001957537154989
bern-tiergarten,Baumschule,land-use,12592,7065000,0.0017823071479122
bern-tiergarten,Friedhof,land-use,18160,7065000,0.0025704175513092
bern-tiergarten,Kraftwerkareal,land-use,35,7065000,4.953998584571833e-06
bern-tiergarten,Oeffentliches Parkareal,land-use,172253,7065000,0.0243811748053786
bern-tiergarten,Schrebergartenareal,land-use,15727,7065000,0.0022260438782731
bern-tiergarten,Schul- und Hochschulareal,land-use,207845,7065000,0.029418966737438
bielersee_vinelz_fankhausers,Abwasserreinigungsareal,land-use,2810,4762281,0.0005900533798824
bielersee_vinelz_fankhausers,Baumschule,land-use,42968,4762281,0.0090225671269712
bielersee_vinelz_fankhausers,Friedhof,land-use,2862,4762281,0.0006009725171614
bielersee_vinelz_fankhausers,Historisches Areal,land-use,6612,4762281,0.001388410301702
bielersee_vinelz_fankhausers,Schul- und Hochschulareal,land-use,18294,4762281,0.003841436488103
birs_basel_grunern,Abwasserreinigungsareal,land-use,26584,7065000,0.0037627742392073
birs_basel_grunern,Friedhof,land-use,16341,7065000,0.0023129511677282
birs_basel_grunern,Kraftwerkareal,land-use,14098,7065000,0.0019954706298655
birs_basel_grunern,Oeffentliches Parkareal,land-use,107020,7065000,0.0151479122434536
birs_basel_grunern,Schrebergartenareal,land-use,214802,7065000,0.0304036801132342
birs_basel_grunern,Schul- und Hochschulareal,land-use,142852,7065000,0.0202196744515215
birs_basel_grunern,Spitalareal,land-use,52092,7065000,0.0073732484076433
birs_basel_laderachs,Abwasserreinigungsareal,land-use,26584,7065000,0.0037627742392073
birs_basel_laderachs,Friedhof,land-use,69464,7065000,0.0098321302193913
birs_basel_laderachs,Kraftwerkareal,land-use,434,7065000,6.142958244869073e-05
birs_basel_laderachs,Oeffentliches Parkareal,land-use,166339,7065000,0.0235440905874026
birs_basel_laderachs,Schrebergartenareal,land-use,207769,7065000,0.0294082094833687
birs_basel_laderachs,Schul- und Hochschulareal,land-use,166806,7065000,0.0236101910828025
birs_basel_laderachs,Spitalareal,land-use,55789,7065000,0.0078965322009908
birs_basel_laderachs,Wald nicht bestockt,land-use,2251,7065000,0.0003186128803963
birs_reinach_dinuccin,Baumschule,land-use,48412,7065000,0.0068523708421797
birs_reinach_dinuccin,Historisches Areal,land-use,1661,7065000,0.0002351026185421
birs_reinach_dinuccin,Schrebergartenareal,land-use,26381,7065000,0.0037340410474168
birs_reinach_dinuccin,Schul- und Hochschulareal,land-use,143283,7065000,0.0202806794055201
birs_reinach_dinuccin,Spitalareal,land-use,33326,7065000,0.0047170559094125
birskopfli-rusco,Friedhof,land-use,15252,7065000,0.0021588110403397
birskopfli-rusco,Kraftwerkareal,land-use,14098,7065000,0.0019954706298655
birskopfli-rusco,Messeareal,land-use,82801,7065000,0.0117198867657466
birskopfli-rusco,Oeffentliches Parkareal,land-use,119240,7065000,0.0168775654635527
birskopfli-rusco,Schrebergartenareal,land-use,264442,7065000,0.0374298655343241
birskopfli-rusco,Schul- und Hochschulareal,land-use,242896,7065000,0.0343801840056617
birskopfli-rusco,Spitalareal,land-use,85954,7065000,0.0121661712668082
bodensee_altenrhein_caluoria,Friedhof,land-use,3400,4107846,0.0008276843873894
bodensee_altenrhein_caluoria,Historisches Areal,land-use,20892,4107846,0.0050858771239233
bodensee_altenrhein_caluoria,Oeffentliches Parkareal,land-use,99131,4107846,0.024132112060676
bodensee_altenrhein_caluoria,Schul- und Hochschulareal,land-use,16488,4107846,0.0040137824056695
bodensee_altenrhein_caluoria,Steinbruchareal,land-use,1729,4107846,0.0004209018546459
bodensee_altenrhein_caluoria,Unterwerkareal,land-use,772,4107846,0.0001879330432542
bodensee_arbon_moslis,Friedhof,land-use,12723,3031126,0.0041974500565136
bodensee_arbon_moslis,Historisches Areal,land-use,13329,3031126,0.0043973757606909
bodensee_arbon_moslis,Oeffentliches Parkareal,land-use,82298,3031126,0.0271509663405612
bodensee_arbon_moslis,Schrebergartenareal,land-use,2946,3031126,0.0009719160470399
bodensee_arbon_moslis,Schul- und Hochschulareal,land-use,36255,3031126,0.0119609016583276
bodensee_horn_huberm,Baumschule,land-use,17380,3754251,0.004629418757563
bodensee_horn_huberm,Friedhof,land-use,11247,3754251,0.0029958039566347
bodensee_horn_huberm,Historisches Areal,land-use,3869,3754251,0.0010305650847532
bodensee_horn_huberm,Schrebergartenareal,land-use,32795,3754251,0.0087354308489229
bodensee_horn_huberm,Schul- und Hochschulareal,land-use,19087,3754251,0.005084103327135
bodensee_steinach_dolder_a,Abwasserreinigungsareal,land-use,41011,4958241,0.0082712800769466
bodensee_steinach_dolder_a,Baumschule,land-use,23894,4958241,0.004819047722771
bodensee_steinach_dolder_a,Friedhof,land-use,19509,4958241,0.0039346615059655
bodensee_steinach_dolder_a,Historisches Areal,land-use,13329,4958241,0.0026882517408895
bodensee_steinach_dolder_a,Kraftwerkareal,land-use,1321,4958241,0.0002664251293956
bodensee_steinach_dolder_a,Oeffentliches Parkareal,land-use,48524,4958241,0.0097865351845543
bodensee_steinach_dolder_a,Schrebergartenareal,land-use,28072,4958241,0.0056616852629793
bodensee_steinach_dolder_a,Schul- und Hochschulareal,land-use,78290,4958241,0.0157898738685755
bodensee_steinach_dolder_a,Unterwerkareal,land-use,2339,4958241,0.0004717398771056
bodensee_thal_schlachterj_1,Baumschule,land-use,210,4168874,5.03733142330519e-05
bodensee_thal_schlachterj_1,Friedhof,land-use,3400,4168874,0.0008155679447256
bodensee_thal_schlachterj_1,Historisches Areal,land-use,21462,4168874,0.0051481527146179
bodensee_thal_schlachterj_1,Oeffentliches Parkareal,land-use,104224,4168874,0.0250005157267885
bodensee_thal_schlachterj_1,Schul- und Hochschulareal,land-use,16488,4168874,0.0039550247860693
bodensee_thal_schlachterj_1,Steinbruchareal,land-use,1729,4168874,0.0004147402871854
bodensee_thal_schlachterj_1,Unterwerkareal,land-use,772,4168874,0.0001851818980376
boiron,Abwasserreinigungsareal,land-use,3738,2579071,0.0014493590909284
boiron,Friedhof,land-use,14303,2579071,0.0055457953658507
brugg-be-buren-bsg-standort,Baumschule,land-use,9095,7065000,0.0012873319179051
brugg-be-buren-bsg-standort,Friedhof,land-use,38754,7065000,0.0054853503184713
brugg-be-buren-bsg-standort,Historisches Areal,land-use,21445,7065000,0.0030353857041755
brugg-be-buren-bsg-standort,Schrebergartenareal,land-use,114891,7065000,0.0162619957537154
brugg-be-buren-bsg-standort,Schul- und Hochschulareal,land-use,33825,7065000,0.0047876857749469
brugg-be-buren-bsg-standort,Wald nicht bestockt,land-use,31437,7065000,0.0044496815286624
camp-des-peches,Abwasserreinigungsareal,land-use,4725,5417037,0.0008722480573789
camp-des-peches,Friedhof,land-use,7187,5417037,0.0013267400610333
camp-des-peches,Massnahmenvollzugsanstaltsareal,land-use,72781,5417037,0.0134355737278515
camp-des-peches,Schrebergartenareal,land-use,9920,5417037,0.0018312594135871
camp-des-peches,Schul- und Hochschulareal,land-use,15033,5417037,0.0027751333431911
camping-gwatt-strand,Friedhof,land-use,31179,4058830,0.007681770362395
camping-gwatt-strand,Oeffentliches Parkareal,land-use,64177,4058830,0.015811699430624
camping-gwatt-strand,Schrebergartenareal,land-use,3892,4058830,0.0009588970220482
camping-gwatt-strand,Schul- und Hochschulareal,land-use,49009,4058830,0.0120746619099592
canale-saleggi,Friedhof,land-use,2748,7065000,0.0003889596602972
canale-saleggi,Historisches Areal,land-use,36676,7065000,0.0051912243453644
canale-saleggi,Klosterareal,land-use,5578,7065000,0.000789525831564
canale-saleggi,Messeareal,land-use,2352,7065000,0.0003329087048832
canale-saleggi,Oeffentliches Parkareal,land-use,3204,7065000,0.0004535031847133
canale-saleggi,Schul- und Hochschulareal,land-use,103548,7065000,0.0146564755838641
canale-saleggi,Unterwerkareal,land-use,3828,7065000,0.0005418259023354
canale-saleggi,Wald nicht bestockt,land-use,11135,7065000,0.0015760792639773
caprino,Oeffentliches Parkareal,land-use,3824,3640479,0.0010504112233582
charmey,Steinbruchareal,land-use,23498,7065000,0.0033259731068648
charmey,Wald nicht bestockt,land-use,3865,7065000,0.0005470629865534
chriesbach_duebendorf_schneidera,Abwasserreinigungsareal,land-use,14790,7065000,0.0020934182590233
chriesbach_duebendorf_schneidera,Baumschule,land-use,7309,7065000,0.0010345364472753
chriesbach_duebendorf_schneidera,Schrebergartenareal,land-use,16208,7065000,0.0022941259731068
chriesbach_duebendorf_schneidera,Schul- und Hochschulareal,land-use,176197,7065000,0.0249394196744515
chriesbach_duebendorf_schneidera,Truppenuebungsplatz,land-use,51127,7065000,0.0072366595895258
chriesbach_duebendorf_schneidera,Unterwerkareal,land-use,4186,7065000,0.0005924982307147
cully-plage,Abwasserreinigungsareal,land-use,3333,4389945,0.0007592350245845
