slug,attribute_type,attribute,length
aabach,streets,Autostr,705
aabach,streets,Fahrstraes,3866
aabach,streets,Fussweg,1162
aabach,streets,HauptStrAB6,2684
aabach,streets,VerbindStr4,658
aare-limmatspitz,streets,Fahrstraes,934
aare-limmatspitz,streets,HauptStrAB6,3123
aare-limmatspitz,streets,NebenStr3,2203
aare-limmatspitz,streets,VerbindStr6,4833
aare-port,streets,Autobahn,1891
aare-port,streets,Autostr,1677
aare-port,streets,Fahrstraes,5199
aare-port,streets,Fussweg,248
aare-port,streets,HauptStrAB4,944
aare-port,streets,HauptStrAB6,3243
aare-port,streets,NebenStr3,1634
aare-port,streets,VerbindStr4,2231
aare-port,streets,VerbindStr6,949
aare-solothurn-lido-strand,streets,Autobahn,2974
aare-solothurn-lido-strand,streets,Fahrstraes,6816
aare-solothurn-lido-strand,streets,HauptStrAB6,5272
aare-solothurn-lido-strand,streets,NebenStr3,2072
aare_bern_caveltin,streets,Fahrstraes,3483
aare_bern_caveltin,streets,Fussweg,4807
aare_bern_caveltin,streets,HauptStrAB6,1499
aare_bern_caveltin,streets,NebenStr3,6697
aare_bern_caveltin,streets,VerbindStr4,1067
aare_bern_caveltin,streets,VerbindStr6,2254
aare_bern_gerberm,streets,Autobahn,808
aare_bern_gerberm,streets,Fahrstraes,2333
aare_bern_gerberm,streets,HauptStrAB6,3834
aare_bern_gerberm,streets,NebenStr3,7000
aare_bern_gerberm,streets,VerbindStr6,843
aare_bern_scheurerk,streets,Autobahn,2734
aare_bern_scheurerk,streets,Autostr,330
aare_bern_scheurerk,streets,HauptStrAB6,6646
aare_bern_scheurerk,streets,NebenStr3,5345
aare_bern_scheurerk,streets,VerbindStr6,2300
aare_brugg_buchie,streets,Fahrstraes,1976
aare_brugg_buchie,streets,Fussweg,831
aare_brugg_buchie,streets,HauptStrAB6,4178
aare_brugg_buchie,streets,NebenStr3,2213
aare_brugg_buchie,streets,VerbindStr6,3419
aare_elfenau_cataldiv,streets,Fahrstraes,2556
aare_elfenau_cataldiv,streets,Fussweg,5869
aare_elfenau_cataldiv,streets,HauptStrAB4,645
aare_elfenau_cataldiv,streets,HauptStrAB6,3448
aare_elfenau_cataldiv,streets,NebenStr3,8703
aare_elfenau_cataldiv,streets,VerbindStr4,94
aare_elfenau_cataldiv,streets,VerbindStr6,2435
aare_kehrsatz_stolten,streets,Autobahn,2040
aare_kehrsatz_stolten,streets,Fahrstraes,2152
aare_kehrsatz_stolten,streets,Fussweg,5266
aare_kehrsatz_stolten,streets,HauptStrAB6,3569
aare_kehrsatz_stolten,streets,NebenStr3,6336
aare_koniz_hoppej,streets,Fahrstraes,1290
aare_koniz_hoppej,streets,Fussweg,6584
aare_koniz_hoppej,streets,HauptStrAB4,503
aare_koniz_hoppej,streets,HauptStrAB6,3639
aare_koniz_hoppej,streets,NebenStr3,11781
aare_koniz_hoppej,streets,VerbindStr6,2373
aare_post,streets,Autobahn,1962
aare_post,streets,Autostr,1749
aare_post,streets,Fahrstraes,5467
aare_post,streets,Fussweg,437
aare_post,streets,HauptStrAB4,944
aare_post,streets,HauptStrAB6,3406
aare_post,streets,NebenStr3,1878
aare_post,streets,VerbindStr4,2231
aare_post,streets,VerbindStr6,778
aare_rupperswil_badert,streets,Fahrstraes,619
aare_rupperswil_badert,streets,Fussweg,1525
aare_rupperswil_badert,streets,HauptStrAB6,2896
aare_rupperswil_badert,streets,NebenStr3,4656
aare_rupperswil_badert,streets,VerbindStr6,359
aare_solothurn_nguyena,streets,Autobahn,2922
aare_solothurn_nguyena,streets,Fahrstraes,6794
aare_solothurn_nguyena,streets,HauptStrAB6,6228
aare_solothurn_nguyena,streets,NebenStr3,2425
aare_solothurn_nguyena,streets,NebenStr6,107
aare_suhrespitz_badert,streets,Autobahn,1392
aare_suhrespitz_badert,streets,Fahrstraes,1701
aare_suhrespitz_badert,streets,Fussweg,186
aare_suhrespitz_badert,streets,HauptStrAB4,386
aare_suhrespitz_badert,streets,HauptStrAB6,5748
aare_suhrespitz_badert,streets,NebenStr3,3087
aare_suhrespitz_badert,streets,VerbindStr4,2199
aare_suhrespitz_badert,streets,VerbindStr6,1817
