location,date,area,length,project,doy,quantity,code,loc_date,pcs/m,pcs/m²,slug,Project,city
amphion,2022-02-01,440.0,91.0,plastock,32,1,G113,"('amphion', '2022-02-01')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,40,G114,"('amphion', '2022-02-01')",0.4395604395604395,0.0909090909090909,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,1,G131,"('amphion', '2022-02-01')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,1,G148,"('amphion', '2022-02-01')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,2,G211,"('amphion', '2022-02-01')",0.0219780219780219,0.0045454545454545,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,4,G27,"('amphion', '2022-02-01')",0.0439560439560439,0.009090909090909,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,52,G30,"('amphion', '2022-02-01')",0.5714285714285714,0.1181818181818181,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,11,G31,"('amphion', '2022-02-01')",0.1208791208791208,0.025,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,13,G35,"('amphion', '2022-02-01')",0.1428571428571428,0.0295454545454545,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,1,G49,"('amphion', '2022-02-01')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,7,G66,"('amphion', '2022-02-01')",0.0769230769230769,0.0159090909090909,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,33,G70,"('amphion', '2022-02-01')",0.3626373626373626,0.075,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,2,G905,"('amphion', '2022-02-01')",0.0219780219780219,0.0045454545454545,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,1,G914,"('amphion', '2022-02-01')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,2,G922,"('amphion', '2022-02-01')",0.0219780219780219,0.0045454545454545,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,3,G931,"('amphion', '2022-02-01')",0.0329670329670329,0.0068181818181818,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,26,G932,"('amphion', '2022-02-01')",0.2857142857142857,0.059090909090909,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,71,G95,"('amphion', '2022-02-01')",0.7802197802197802,0.1613636363636363,amphion,Testing,Amphion
amphion,2022-02-01,440.0,91.0,plastock,32,1,G97,"('amphion', '2022-02-01')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-05-03,440.0,91.0,plastock,123,1,G131,"('amphion', '2022-05-03')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-05-03,440.0,91.0,plastock,123,2,G211,"('amphion', '2022-05-03')",0.0219780219780219,0.0045454545454545,amphion,Testing,Amphion
amphion,2022-05-03,440.0,91.0,plastock,123,11,G27,"('amphion', '2022-05-03')",0.1208791208791208,0.025,amphion,Testing,Amphion
amphion,2022-05-03,440.0,91.0,plastock,123,39,G30,"('amphion', '2022-05-03')",0.4285714285714285,0.0886363636363636,amphion,Testing,Amphion
amphion,2022-05-03,440.0,91.0,plastock,123,8,G31,"('amphion', '2022-05-03')",0.0879120879120879,0.0181818181818181,amphion,Testing,Amphion
amphion,2022-05-03,440.0,91.0,plastock,123,8,G35,"('amphion', '2022-05-03')",0.0879120879120879,0.0181818181818181,amphion,Testing,Amphion
amphion,2022-05-03,440.0,91.0,plastock,123,12,G70,"('amphion', '2022-05-03')",0.1318681318681318,0.0272727272727272,amphion,Testing,Amphion
amphion,2022-05-03,440.0,91.0,plastock,123,3,G905,"('amphion', '2022-05-03')",0.0329670329670329,0.0068181818181818,amphion,Testing,Amphion
amphion,2022-05-03,440.0,91.0,plastock,123,5,G922,"('amphion', '2022-05-03')",0.0549450549450549,0.0113636363636363,amphion,Testing,Amphion
amphion,2022-05-03,440.0,91.0,plastock,123,12,G932,"('amphion', '2022-05-03')",0.1318681318681318,0.0272727272727272,amphion,Testing,Amphion
amphion,2022-05-03,440.0,91.0,plastock,123,44,G95,"('amphion', '2022-05-03')",0.4835164835164835,0.1,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,1,G10,"('amphion', '2022-10-18')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,7,G103,"('amphion', '2022-10-18')",0.0769230769230769,0.0159090909090909,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,17,G106,"('amphion', '2022-10-18')",0.1868131868131868,0.0386363636363636,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,11,G113,"('amphion', '2022-10-18')",0.1208791208791208,0.025,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,31,G114,"('amphion', '2022-10-18')",0.3406593406593406,0.0704545454545454,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,6,G117,"('amphion', '2022-10-18')",0.0659340659340659,0.0136363636363636,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,1,G2,"('amphion', '2022-10-18')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,1,G211,"('amphion', '2022-10-18')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,1,G25,"('amphion', '2022-10-18')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,12,G27,"('amphion', '2022-10-18')",0.1318681318681318,0.0272727272727272,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,40,G30,"('amphion', '2022-10-18')",0.4395604395604395,0.0909090909090909,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,12,G31,"('amphion', '2022-10-18')",0.1318681318681318,0.0272727272727272,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,7,G35,"('amphion', '2022-10-18')",0.0769230769230769,0.0159090909090909,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,2,G49,"('amphion', '2022-10-18')",0.0219780219780219,0.0045454545454545,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,1,G66,"('amphion', '2022-10-18')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,5,G70,"('amphion', '2022-10-18')",0.0549450549450549,0.0113636363636363,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,6,G74,"('amphion', '2022-10-18')",0.0659340659340659,0.0136363636363636,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,4,G89,"('amphion', '2022-10-18')",0.0439560439560439,0.009090909090909,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,3,G905,"('amphion', '2022-10-18')",0.0329670329670329,0.0068181818181818,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,2,G922,"('amphion', '2022-10-18')",0.0219780219780219,0.0045454545454545,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,18,G932,"('amphion', '2022-10-18')",0.1978021978021978,0.0409090909090909,amphion,Testing,Amphion
amphion,2022-10-18,440.0,91.0,plastock,291,67,G95,"('amphion', '2022-10-18')",0.7362637362637363,0.1522727272727272,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,1,G112,"('amphion', '2022-07-19')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,32,G114,"('amphion', '2022-07-19')",0.3516483516483517,0.0727272727272727,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,1,G125,"('amphion', '2022-07-19')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,1,G135,"('amphion', '2022-07-19')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,1,G145,"('amphion', '2022-07-19')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,1,G2,"('amphion', '2022-07-19')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,5,G211,"('amphion', '2022-07-19')",0.0549450549450549,0.0113636363636363,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,15,G27,"('amphion', '2022-07-19')",0.1648351648351648,0.034090909090909,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,2,G29,"('amphion', '2022-07-19')",0.0219780219780219,0.0045454545454545,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,36,G30,"('amphion', '2022-07-19')",0.3956043956043956,0.0818181818181818,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,11,G31,"('amphion', '2022-07-19')",0.1208791208791208,0.025,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,4,G32,"('amphion', '2022-07-19')",0.0439560439560439,0.009090909090909,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,21,G35,"('amphion', '2022-07-19')",0.2307692307692307,0.0477272727272727,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,2,G49,"('amphion', '2022-07-19')",0.0219780219780219,0.0045454545454545,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,2,G50,"('amphion', '2022-07-19')",0.0219780219780219,0.0045454545454545,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,1,G66,"('amphion', '2022-07-19')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,12,G70,"('amphion', '2022-07-19')",0.1318681318681318,0.0272727272727272,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,3,G74,"('amphion', '2022-07-19')",0.0329670329670329,0.0068181818181818,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,5,G905,"('amphion', '2022-07-19')",0.0549450549450549,0.0113636363636363,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,14,G922,"('amphion', '2022-07-19')",0.1538461538461538,0.0318181818181818,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,9,G932,"('amphion', '2022-07-19')",0.0989010989010989,0.0204545454545454,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,61,G95,"('amphion', '2022-07-19')",0.6703296703296703,0.1386363636363636,amphion,Testing,Amphion
amphion,2022-07-19,440.0,91.0,plastock,200,1,G99,"('amphion', '2022-07-19')",0.0109890109890109,0.0022727272727272,amphion,Testing,Amphion
anthy,2022-05-04,273.0,85.0,plastock,124,1,G112,"('anthy', '2022-05-04')",0.0117647058823529,0.0036630036630036,anthy,Testing,Anthy
