slug,alabel
anarchy-beach,Haut lac
arabie,Haut lac
bain-des-dames,Haut lac
baye-de-clarens,Haut lac
baye-de-montreux-d,Haut lac
baye-de-montreux-g,Haut lac
cully-plage,Haut lac
grand-clos,Haut lac
le-pierrier,Haut lac
le-port,Haut lac
maladaire,Haut lac
oyonne,Haut lac
pierrier-sud,Haut lac
quai-maria-belgia,Haut lac
veveyse,Haut lac
baby-plage-geneva,Petit lac
baby-plage-ii-geneve,Petit lac
jardin-botanique,Petit lac
lacleman_gland_kubela,Petit lac
lacleman_gland_lecoanets,Petit lac
rocky-plage,Petit lac
versoix,Petit lac
villa-barton,Petit lac
boiron,Grand lac
la-morges,Grand lac
la-pecherie,Grand lac
lacleman_vidy_santie,Grand lac
parc-des-pierrettes,Grand lac
plage-de-dorigny,Grand lac
plage-de-st-sulpice,Grand lac
preverenges,Grand lac
preverenges-le-sout,Grand lac
rolle-plage,Grand lac
saint-sulpice,Grand lac
tiger-duck-beach,Grand lac
tolochenaz,Grand lac
vidy,Grand lac
vidy-ruines,Grand lac
meillerie,Haut lac
clarens,Haut lac
cully,Haut lac
grangettes,Haut lac
pichette,Haut lac
bouveret,Haut lac
tougues,Petit lac
baby-plage,Petit lac
hermance,Petit lac
port-choiseul,Petit lac
savoniere,Petit lac
versoix,Petit lac
crans,Petit lac
amphion,Grand lac
anthy,Grand lac
excenevex,Grand lac
lugrin,Grand lac
saint-disdille,Grand lac
aubonne,Grand lac
gland,Grand lac
lutry,Grand lac
preverenges,Grand lac
rolle,Grand lac
tolochenaz,Grand lac
vidy,Grand lac
