Plage,échantillon,orientation,position,substrat,fréquentation,situation,distance,objet,compte
Amphion,74_Amp_1,NE,1,4,3,1,1,fdure,0.0
Amphion,74_Amp_1,NE,1,4,3,1,1,fibres,97.0
Amphion,74_Amp_1,NE,1,4,3,1,1,souple,0.0
Amphion,74_Amp_10,NNE,2,4,3,1,1,fdure,38.0
Amphion,74_Amp_10,NNE,2,4,3,1,1,fibres,140.0
Amphion,74_Amp_10,NNE,2,4,3,1,1,souple,34.0
Amphion,74_Amp_2,NNE,1,4,3,1,1,fdure,3.0
Amphion,74_Amp_2,NNE,1,4,3,1,1,fibres,121.0
Amphion,74_Amp_2,NNE,1,4,3,1,1,souple,12.0
Amphion,74_Amp_3,NE,1,4,3,1,1,fdure,0.0
Amphion,74_Amp_3,NE,1,4,3,1,1,fibres,31.0
Amphion,74_Amp_3,NE,1,4,3,1,1,souple,0.0
Amphion,74_Amp_4,NNE,1,4,3,1,1,fdure,2.0
Amphion,74_Amp_4,NNE,1,4,3,1,1,fibres,179.0
Amphion,74_Amp_4,NNE,1,4,3,1,1,souple,1.0
Amphion,74_Amp_5,NE,2,4,3,1,1,fdure,6.0
Amphion,74_Amp_5,NE,2,4,3,1,1,fibres,70.0
Amphion,74_Amp_5,NE,2,4,3,1,1,souple,12.0
Amphion,74_Amp_6,NE,2,4,3,1,1,fdure,7.0
Amphion,74_Amp_6,NE,2,4,3,1,1,fibres,167.0
Amphion,74_Amp_6,NE,2,4,3,1,1,souple,14.0
Amphion,74_Amp_7,NE,2,4,3,1,1,fdure,9.0
Amphion,74_Amp_7,NE,2,4,3,1,1,fibres,44.0
Amphion,74_Amp_7,NE,2,4,3,1,1,souple,18.0
Amphion,74_Amp_8,NNE,2,4,3,1,1,fdure,1.0
Amphion,74_Amp_8,NNE,2,4,3,1,1,fibres,46.0
Amphion,74_Amp_8,NNE,2,4,3,1,1,souple,5.0
Amphion,74_Amp_9,NNE,2,4,3,1,1,fdure,13.0
Amphion,74_Amp_9,NNE,2,4,3,1,1,fibres,205.0
Amphion,74_Amp_9,NNE,2,4,3,1,1,souple,12.0
Anthy,74_Ant_1,NNO,1,4,2,1,1,fdure,5.0
Anthy,74_Ant_1,NNO,1,4,2,1,1,fibres,29.0
Anthy,74_Ant_1,NNO,1,4,2,1,1,souple,4.0
Anthy,74_Ant_2,NNO,1,4,2,1,1,fdure,8.0
Anthy,74_Ant_2,NNO,1,4,2,1,1,fibres,33.0
Anthy,74_Ant_2,NNO,1,4,2,1,1,souple,16.0
Anthy,74_Ant_3,NNO,1,4,2,1,1,fdure,9.0
Anthy,74_Ant_3,NNO,1,4,2,1,1,fibres,61.0
Anthy,74_Ant_3,NNO,1,4,2,1,1,souple,1.0
Anthy,74_Ant_4,NNO,2,4,2,1,1,fdure,13.0
Anthy,74_Ant_4,NNO,2,4,2,1,1,fibres,166.0
Anthy,74_Ant_4,NNO,2,4,2,1,1,souple,28.0
Anthy,74_Ant_5,NNO,2,4,2,1,1,fdure,6.0
Anthy,74_Ant_5,NNO,2,4,2,1,1,fibres,105.0
Anthy,74_Ant_5,NNO,2,4,2,1,1,souple,11.0
Anthy,74_Ant_6,NNO,2,4,2,1,1,fdure,16.0
Anthy,74_Ant_6,NNO,2,4,2,1,1,fibres,156.0
Anthy,74_Ant_6,NNO,2,4,2,1,1,souple,35.0
Aubonne,VD_Aub_1,ONO,1,4,2,1,4,fdure,5.0
Aubonne,VD_Aub_1,ONO,1,4,2,1,4,fibres,39.0
Aubonne,VD_Aub_1,ONO,1,4,2,1,4,souple,0.0
Aubonne,VD_Aub_2,O,1,4,2,1,4,fdure,8.0
Aubonne,VD_Aub_2,O,1,4,2,1,4,fibres,51.0
Aubonne,VD_Aub_2,O,1,4,2,1,4,souple,0.0
Aubonne,VD_Aub_3,OSO,1,4,2,1,4,fdure,2.0
Aubonne,VD_Aub_3,OSO,1,4,2,1,4,fibres,86.0
Aubonne,VD_Aub_3,OSO,1,4,2,1,4,souple,1.0
Aubonne,VD_Aub_4,OSO,1,4,2,1,4,fdure,37.0
Aubonne,VD_Aub_4,OSO,1,4,2,1,4,fibres,30.0
Aubonne,VD_Aub_4,OSO,1,4,2,1,4,souple,0.0
Aubonne,VD_Aub_5,SO,1,4,2,1,4,fdure,11.0
Aubonne,VD_Aub_5,SO,1,4,2,1,4,fibres,42.0
Aubonne,VD_Aub_5,SO,1,4,2,1,4,souple,2.0
Aubonne,VD_Aub_6,ONO,2,4,2,1,4,fdure,10.0
Aubonne,VD_Aub_6,ONO,2,4,2,1,4,fibres,76.0
Aubonne,VD_Aub_6,ONO,2,4,2,1,4,souple,1.0
Aubonne,VD_Aub_7,OSO,2,4,2,1,4,fdure,5.0
Aubonne,VD_Aub_7,OSO,2,4,2,1,4,fibres,132.0
Aubonne,VD_Aub_7,OSO,2,4,2,1,4,souple,72.0
Aubonne,VD_Aub_9,OSO,2,4,2,1,4,fdure,17.0
Aubonne,VD_Aub_9,OSO,2,4,2,1,4,fibres,105.0
Aubonne,VD_Aub_9,OSO,2,4,2,1,4,souple,39.0
Baby Plage,GE_Bab_1,NNE,1,1,3,2,2,fdure,1.0
Baby Plage,GE_Bab_1,NNE,1,1,3,2,2,fibres,22.0
Baby Plage,GE_Bab_1,NNE,1,1,3,2,2,souple,0.0
Baby Plage,GE_Bab_10,N,2,1,3,2,2,fdure,7.0
Baby Plage,GE_Bab_10,N,2,1,3,2,2,fibres,169.0
Baby Plage,GE_Bab_10,N,2,1,3,2,2,souple,21.0
Baby Plage,GE_Bab_11,N,2,1,3,2,2,fdure,52.0
Baby Plage,GE_Bab_11,N,2,1,3,2,2,fibres,105.0
Baby Plage,GE_Bab_11,N,2,1,3,2,2,souple,59.0
Baby Plage,GE_Bab_2,N,1,1,3,2,2,fdure,3.0
Baby Plage,GE_Bab_2,N,1,1,3,2,2,fibres,122.0
Baby Plage,GE_Bab_2,N,1,1,3,2,2,souple,0.0
Baby Plage,GE_Bab_3,N,1,1,3,2,2,fdure,1.0
Baby Plage,GE_Bab_3,N,1,1,3,2,2,fibres,31.0
Baby Plage,GE_Bab_3,N,1,1,3,2,2,souple,0.0
Baby Plage,GE_Bab_4,N,1,1,3,2,2,fdure,6.0
Baby Plage,GE_Bab_4,N,1,1,3,2,2,fibres,21.0
Baby Plage,GE_Bab_4,N,1,1,3,2,2,souple,0.0
Baby Plage,GE_Bab_5,N,1,1,3,2,2,fdure,19.0
Baby Plage,GE_Bab_5,N,1,1,3,2,2,fibres,119.0
Baby Plage,GE_Bab_5,N,1,1,3,2,2,souple,0.0
Baby Plage,GE_Bab_6,NNE,2,1,3,2,2,fdure,8.0
Baby Plage,GE_Bab_6,NNE,2,1,3,2,2,fibres,51.0
Baby Plage,GE_Bab_6,NNE,2,1,3,2,2,souple,0.0
Baby Plage,GE_Bab_7,NNE,2,1,3,2,2,fdure,12.0
Baby Plage,GE_Bab_7,NNE,2,1,3,2,2,fibres,88.0
Baby Plage,GE_Bab_7,NNE,2,1,3,2,2,souple,0.0
Baby Plage,GE_Bab_8,N,2,1,3,2,2,fdure,16.0
Baby Plage,GE_Bab_8,N,2,1,3,2,2,fibres,203.0
Baby Plage,GE_Bab_8,N,2,1,3,2,2,souple,4.0
Baby Plage,GE_Bab_9,N,2,1,3,2,2,fdure,8.0
Baby Plage,GE_Bab_9,N,2,1,3,2,2,fibres,148.0
Baby Plage,GE_Bab_9,N,2,1,3,2,2,souple,12.0
Bouveret,VS_Bou_1,ONO,1,1,3,1,2,fdure,14.0
Bouveret,VS_Bou_1,ONO,1,1,3,1,2,fibres,68.0
Bouveret,VS_Bou_1,ONO,1,1,3,1,2,souple,0.0
Bouveret,VS_Bou_10,O,2,1,3,1,2,fdure,15.0
Bouveret,VS_Bou_10,O,2,1,3,1,2,fibres,80.0
Bouveret,VS_Bou_10,O,2,1,3,1,2,souple,47.0
Bouveret,VS_Bou_11,O,2,1,3,1,2,fdure,29.0
Bouveret,VS_Bou_11,O,2,1,3,1,2,fibres,883.0
Bouveret,VS_Bou_11,O,2,1,3,1,2,souple,104.0
Bouveret,VS_Bou_2,ONO,1,1,3,1,2,fdure,9.0
Bouveret,VS_Bou_2,ONO,1,1,3,1,2,fibres,100.0
Bouveret,VS_Bou_2,ONO,1,1,3,1,2,souple,0.0
Bouveret,VS_Bou_3,O,1,1,3,1,2,fdure,1.0
Bouveret,VS_Bou_3,O,1,1,3,1,2,fibres,36.0
Bouveret,VS_Bou_3,O,1,1,3,1,2,souple,0.0
Bouveret,VS_Bou_4,O,1,1,3,1,2,fdure,18.0
Bouveret,VS_Bou_4,O,1,1,3,1,2,fibres,37.0
Bouveret,VS_Bou_4,O,1,1,3,1,2,souple,2.0
Bouveret,VS_Bou_5,O,1,1,3,1,2,fdure,59.0
Bouveret,VS_Bou_5,O,1,1,3,1,2,fibres,199.0
Bouveret,VS_Bou_5,O,1,1,3,1,2,souple,0.0
Bouveret,VS_Bou_6,OSO,1,1,3,1,2,fdure,0.0
Bouveret,VS_Bou_6,OSO,1,1,3,1,2,fibres,35.0
Bouveret,VS_Bou_6,OSO,1,1,3,1,2,souple,0.0
Bouveret,VS_Bou_7,OSO,1,1,3,1,2,fdure,5.0
Bouveret,VS_Bou_7,OSO,1,1,3,1,2,fibres,53.0
Bouveret,VS_Bou_7,OSO,1,1,3,1,2,souple,0.0
Bouveret,VS_Bou_8,ONO,2,1,3,1,2,fdure,12.0
Bouveret,VS_Bou_8,ONO,2,1,3,1,2,fibres,185.0
