échantillon,Plage,region,substrat,date,length,slug,code,quantité,pcs/m
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G159,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G10,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G103,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G106,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G117,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G2,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G25,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G74,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G89,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G112,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G125,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G135,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G145,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G29,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G32,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G50,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G99,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G132,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G53,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G165,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G137,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G73,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G926,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G126,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G128,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G194,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G26,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G48,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G901,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G929,0,0.0
"('amphion', '01.02.2022')",Amphion,Grand lac,4,2022-02-01,91,amphion,G101,0,0.0
