échantillon,Plage,substrat,date,area,slug,code,quantité,pcs/m²,region
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G159,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G10,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G103,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G106,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G117,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G2,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G25,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G74,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G89,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G112,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G125,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G135,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G145,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G29,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G32,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G50,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G99,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G132,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G53,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G165,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G137,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G73,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G926,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G126,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G128,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G194,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G26,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G48,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G901,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G929,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G101,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G34,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G100,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G12,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G144,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G18,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G33,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G67,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G90,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G937,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G133,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G28,0,0.0,Grand lac
"('amphion', '01.02.2022')",Amphion,4,2022-02-01,440,amphion,G39,0,0.0,Grand lac
