slug,lake,river_name,size,class,distance,attribute_type
hafeli,Brienzersee,Lütschine,6,6,843,river intersection
hafeli,Brienzersee,Aare,5,4,112,river intersection
oben-am-see,Brienzersee,Kanal Aarboden,18,8,1367,river intersection
wycheley,Brienzersee,Kanal Aarboden,18,8,1445,river intersection
oben-am-see,Brienzersee,Aare,6,4,481,river intersection
wycheley,Brienzersee,Aare,6,4,86,river intersection
oben-am-see,Brienzersee,Fulbach,9,9,293,river intersection
wycheley,Brienzersee,Fulbach,9,9,261,river intersection
oben-am-see,Brienzersee,Lammbach,9,9,471,river intersection
wycheley,Brienzersee,Lammbach,9,9,844,river intersection
oben-am-see,Brienzersee,Glyssibach,10,10,791,river intersection
wycheley,Brienzersee,Glyssibach,10,10,1200,river intersection
route-13,Lago Maggiore,Riale Brima,9,9,1320,river intersection
ascona-traghetto-spiaggia,Lago Maggiore,Riale Brima,9,9,1427,river intersection
sentiero-giro-del-golf-spiaggia,Lago Maggiore,Maggia,4,5,1199,river intersection
isole-di-brissago-porto,Lago Maggiore,not available,10,10,95,river intersection
pacha-mama-gerra,Lago Maggiore,not available,10,10,308,river intersection
gerra-gambarogno,Lago Maggiore,not available,10,10,1473,river intersection
san-nazzaro-gambarogno,Lago Maggiore,not available,10,10,1346,river intersection
pacha-mama-gerra,Lago Maggiore,not available,9,9,118,river intersection
gerra-gambarogno,Lago Maggiore,not available,9,9,207,river intersection
san-nazzaro-gambarogno,Lago Maggiore,not available,9,9,1331,river intersection
vira-gambarogno,Lago Maggiore,not available,9,9,1170,river intersection
vira-spiaggia-left-of-river,Lago Maggiore,not available,9,9,1024,river intersection
magadino-lido,Lago Maggiore,not available,9,9,1476,river intersection
magadino-lido,Lago Maggiore,Ticino,3,4,819,river intersection
magadino-lido,Lago Maggiore,Isolone,10,10,1108,river intersection
rivapiana,Lago Maggiore,Navegna,9,9,1195,river intersection
rivapiana,Lago Maggiore,Riale Ramnosa,10,10,1126,river intersection
rivapiana,Lago Maggiore,Riale Rabissale,10,10,590,river intersection
rivapiana,Lago Maggiore,Ramogna,10,10,459,river intersection
walensee_walenstadt_wysse,Walensee,Helgenbach,10,10,95,river intersection
seemuhlestrasse-strand,Walensee,Helgenbach,10,10,1261,river intersection
seez,Walensee,Helgenbach,10,10,349,river intersection
gasi-strand,Walensee,Flybach,9,9,1167,river intersection
linthdammweg,Walensee,Flybach,9,9,475,river intersection
seeflechsen,Walensee,Flybach,9,9,1110,river intersection
flibach-river-right-bank,Walensee,Flybach,9,9,122,river intersection
linth_route9brucke,Walensee,Flybach,9,9,1291,river intersection
linth_mollis,Walensee,Flybach,9,9,116,river intersection
gasi-strand,Walensee,Linthkanal,15,5,749,river intersection
linthdammweg,Walensee,Linthkanal,15,5,1065,river intersection
seeflechsen,Walensee,Linthkanal,15,5,463,river intersection
flibach-river-right-bank,Walensee,Linthkanal,15,5,43,river intersection
linth_mollis,Walensee,Linthkanal,15,5,872,river intersection
gasi-strand,Walensee,Linth,5,5,1032,river intersection
seeflechsen,Walensee,Linth,5,5,451,river intersection
flibach-river-right-bank,Walensee,Linth,5,5,512,river intersection
linth_route9brucke,Walensee,Linth,5,5,1294,river intersection
linth_route9brucke,Walensee,Filzbach,9,9,210,river intersection
muhlehorn-dorf,Walensee,Meerenbach,9,9,623,river intersection
muhlehorn-dorf,Walensee,Rötibach,9,9,106,river intersection
murg-bad,Walensee,Murgbach,8,8,1450,river intersection
untertenzen,Walensee,Talbach,9,9,480,river intersection
mols-rocks,Walensee,Talbach (Mols),9,9,538,river intersection
walensee_walenstadt_wysse,Walensee,Seez,6,6,936,river intersection
mols-rocks,Walensee,Seez,6,6,865,river intersection
seemuhlestrasse-strand,Walensee,Seez,6,6,194,river intersection
seez_spennwiesenbrucke,Walensee,Seez,6,6,1269,river intersection
seez,Walensee,Seez,6,6,1152,river intersection
walensee_walenstadt_wysse,Walensee,Kanal Platz,18,8,218,river intersection
mols-rocks,Walensee,Kanal Platz,18,8,1016,river intersection
seemuhlestrasse-strand,Walensee,Kanal Platz,18,8,1006,river intersection
seez_spennwiesenbrucke,Walensee,Kanal Platz,18,8,1026,river intersection
seez,Walensee,Kanal Platz,18,8,114,river intersection
walensee_walenstadt_wysse,Walensee,Tscherlerbach,8,8,98,river intersection
seemuhlestrasse-strand,Walensee,Tscherlerbach,8,8,899,river intersection
seez_spennwiesenbrucke,Walensee,Tscherlerbach,8,8,1077,river intersection
seez,Walensee,Tscherlerbach,8,8,160,river intersection
la-pecherie,Le Léman,L'Aubonne,9,9,422,river intersection
la-pecherie,Le Léman,L'Eau Noire,10,10,629,river intersection
tiger-duck-beach,Le Léman,La Mèbre,8,8,333,river intersection
parc-des-pierrettes,Le Léman,La Mèbre,8,8,333,river intersection
plage-de-st-sulpice,Le Léman,La Mèbre,8,8,874,river intersection
vidy-ruines,Le Léman,La Mèbre,8,8,449,river intersection
plage-de-dorigny,Le Léman,La Mèbre,8,8,1450,river intersection
vidy,Le Léman,La Mèbre,8,8,48,river intersection
lacleman_vidy_santie,Le Léman,La Mèbre,8,8,1480,river intersection
preverenges,Le Léman,Le Venoge,8,7,1263,river intersection
preverenges-le-sout,Le Léman,Le Venoge,8,7,988,river intersection
saint-sulpice,Le Léman,Le Venoge,8,7,586,river intersection
tolochenaz,Le Léman,La Morges,9,9,668,river intersection
la-morges,Le Léman,La Morges,9,9,1449,river intersection
boiron,Le Léman,Le Boiron de Nyon,9,9,1316,river intersection
tolochenaz,Le Léman,Le Boiron de Nyon,9,9,1039,river intersection
grand-clos,Le Léman,Canal Stockalper,18,8,1131,river intersection
grand-clos,Le Léman,Le Rhône,2,4,1114,river intersection
vidy-ruines,Le Léman,Le Flon,10,10,751,river intersection
vidy,Le Léman,Le Flon,10,10,960,river intersection
lacleman_vidy_santie,Le Léman,Le Flon,10,10,267,river intersection
rolle-plage,Le Léman,Le Flon de Tartegnin,10,10,31,river intersection
baby-plage-geneva,Le Léman,Le Rhône,1,4,603,river intersection
pont-sous-terre,Le Léman,Le Rhône,1,4,1491,river intersection
baby-plage-ii-geneve,Le Léman,Le Rhône,1,4,289,river intersection
rocky-plage,Le Léman,Le Rhône,1,4,48,river intersection
quai-maria-belgia,Le Léman,La Veveyse,8,8,1049,river intersection
oyonne,Le Léman,La Veveyse,8,8,335,river intersection
arabie,Le Léman,La Veveyse,8,8,777,river intersection
veveyse,Le Léman,La Veveyse,8,8,275,river intersection
quai-maria-belgia,Le Léman,L'Ognona,10,10,153,river intersection
anarchy-beach,Le Léman,L'Ognona,10,10,1484,river intersection
oyonne,Le Léman,L'Ognona,10,10,1406,river intersection
bain-des-dames,Le Léman,L'Ognona,10,10,1342,river intersection
arabie,Le Léman,L'Ognona,10,10,145,river intersection
veveyse,Le Léman,L'Ognona,10,10,25,river intersection
le-port,Le Léman,L'Ognona,10,10,123,river intersection
ognonnaz-1,Le Léman,L'Ognona,10,10,1342,river intersection
maladaire,Le Léman,Baye de Clarens,9,9,1272,river intersection
le-pierrier,Le Léman,Baye de Clarens,9,9,433,river intersection
baye-de-clarens,Le Léman,Baye de Clarens,9,9,364,river intersection
pierrier-sud,Le Léman,Baye de Clarens,9,9,99,river intersection
baye-de-montreux-g,Le Léman,Baye de Montreux,9,9,1281,river intersection
baye-de-montreux-d,Le Léman,Baye de Montreux,9,9,1399,river intersection
grand-clos,Le Léman,Le Tové,10,10,1372,river intersection
zuerichsee_staefa_hennm,Zürichsee,Tobelbach,9,9,94,river intersection
zurichsee_kusnachterhorn_thirkell-whitej,Zürichsee,Dorfbach,9,9,68,river intersection
kusnachter-dorfbach-tobelweg-1-4,Zürichsee,Dorfbach,9,9,41,river intersection
