loc_date,slug,city,water_name_slug,date,doy,Project,code,pcs/m,quantity
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G1,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G10,0.02,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G100,0.79,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G101,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G102,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G103,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G104,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G105,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G106,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G107,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G108,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G109,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G11,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G111,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G112,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G113,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G114,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G115,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G116,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G117,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G118,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G119,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G12,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G122,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G123,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G124,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G125,0.04,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G126,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G128,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G129,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G13,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G131,0.0,0
"('parc-des-pierrettes', '2016-10-13')",parc-des-pierrettes,Saint-Sulpice (VD),lac-leman,2016-10-13,287,Training,G132,0.0,0
