city,region,lat,lon,pc,quantity,weight,p/m²,p/m,samples,OBJECTID,OBJORIG,DATEOFCHNG,UUID,OBJORIG_YE,OBJVAL,distance
Allaman,grand-lac,46.4639187,6.3857321,"213","631",1.235,1.87920227920228,7.16,"3","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,33.0751081015243
Bourg-en-Lavaux,grand-lac,46.4888866,6.7413961,"176","121",0.215,1.72291666666667,5.015,"2","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,18.7111802336332
Genève,petite-lac,46.208558,6.162923,"44","3275",3.341,0.824643972875105,1.89,"11","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,10.9270991063215
Genève,petite-lac,46.22235,6.1525,"53","598",1.515,2.33495098039216,8.235,"2","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,16.4683181881272
Gland,petite-lac,46.4028106,6.2819586,"70","134",0.135,0.268866571018651,1.43,"2","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,6.07293106132563
La Tour-de-Peilz,haut-lac,46.446296,6.87696,"208","2297",4.272,1.24474347195048,2.275,"12","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,96.4049161275871
La Tour-de-Peilz,haut-lac,46.447216,6.859612,"249","165",0.435,0.684647302904564,5.98,"1","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,40.9049921654958
La Tour-de-Peilz,haut-lac,46.4505068,6.8580918,"236","282",0.45,1.08045977011494,9.69,"1","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,71.6728438316183
La Tour-de-Peilz,haut-lac,46.456682,6.852262,"233","197",0.72,1.49242424242424,9.05,"1","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,57.0071842290532
Lausanne,grand-lac,46.516221,6.596279,"224","1000",0.825,6.08802774023362,11.58,"7","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,43.3424479489071
Montreux,haut-lac,46.430834,6.908778,"254","589",4.09,1.65793650793651,3.74,"6","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,36.82172009445
Montreux,haut-lac,46.439727,6.888968,"208","150",0.24,0.75,2.68,"1","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,46.4708544093313
Préverenges,grand-lac,46.5089049,6.5345263,"219","268",0.39,0.893333333333333,2.68,"1","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,46.4459643508097
Préverenges,grand-lac,46.51269,6.527657,"215","3476",3.496,4.71528834758809,3.54,"12","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,36.2884533548683
Saint-Gingolph,haut-lac,46.387746,6.843686,"345","7565",29.06,5.41516475961988,17.71,"11","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,71.373716116079
Saint-Sulpice (VD),grand-lac,46.513265,6.570977,"162","326",3.25,1.68911917098446,7.85,"1","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,42.1719590002274
Saint-Sulpice (VD),grand-lac,46.515215,6.575531,"129","464",0.74,3.09333333333333,10.08,"1","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,21.7710117075679
Saint-Sulpice (VD),grand-lac,46.518256,6.582546,"180","1717",1.245,6.03789682539683,15.01,"3","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,38.1537969375495
Tolochenaz,grand-lac,46.4975095,6.4828747,"121","186",0.3,1.28275862068966,5.35,"1","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,53.8032062980923
Versoix,petite-lac,46.289194,6.1705693,"83","583",0.7,0.98692425828395,2.91,"3","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,26.7577343408156
Vevey,haut-lac,46.460156,6.836718,"207","3163",3.75,1.94363187347301,5.9,"12","1147",TLM,2021/07/30,{233D4004-90A8-4F91-AF72-E487BD0F428F},"2021",See,49.4489207119513
