place,événement,zone,substrat,fibres,fdure,souple,fragments,status,orientation,temps,total,région,lat,lon
Hermance,GE_Her_1,ligne-d'eau,3,79.0,3.0,0.0,3.0,prior,OSO,50,82.0,petit-lac,46.30358333,6.240833333
Hermance,GE_Her_2,ligne-d'eau,3,25.0,1.0,0.0,1.0,prior,OSO,50,26.0,petit-lac,46.3037,6.240683333
Hermance,GE_Her_3,ligne-d'eau,3,69.0,4.0,0.0,4.0,prior,OSO,50,73.0,petit-lac,46.30378333,6.24065
Hermance,GE_Her_4,ligne-d'eau,3,76.0,9.0,0.0,9.0,prior,OSO,50,85.0,petit-lac,46.3039,6.24065
Savonière,GE_Sav_1,ligne-d'eau,4,110.0,10.0,0.0,10.0,prior,NO,40,120.0,petit-lac,46.26413333,6.199733333
Savonière,GE_Sav_2,ligne-d'eau,4,24.0,2.0,0.0,2.0,prior,NO,40,26.0,petit-lac,46.26416667,6.199916667
Savonière,GE_Sav_3,ligne-d'eau,4,210.0,34.0,0.0,34.0,prior,OSO,40,244.0,petit-lac,46.26426667,6.20005
Baby Plage,GE_Bab_1,ligne-d'eau,1,22.0,1.0,0.0,1.0,prior,NNE,60,23.0,petit-lac,46.20878333,6.16285
Baby Plage,GE_Bab_2,ligne-d'eau,1,122.0,3.0,0.0,3.0,prior,N,60,125.0,petit-lac,46.20873333,6.163116667
Baby Plage,GE_Bab_3,ligne-d'eau,1,31.0,1.0,0.0,1.0,prior,N,60,32.0,petit-lac,46.20873333,6.16325
Baby Plage,GE_Bab_4,ligne-d'eau,1,21.0,6.0,0.0,6.0,prior,N,60,27.0,petit-lac,46.20875,6.163383333
Baby Plage,GE_Bab_5,ligne-d'eau,1,119.0,19.0,0.0,19.0,prior,N,60,138.0,petit-lac,46.20878333,6.163466667
Versoix,GE_Ver_1,ligne-d'eau,3,59.0,3.0,0.0,3.0,prior,ESE,20,62.0,petit-lac,46.27405,6.171316667
Versoix,GE_Ver_2,ligne-d'eau,3,134.0,10.0,2.0,12.0,prior,ESE,20,146.0,petit-lac,46.274,6.171316667
Versoix,GE_Ver_3,ligne-d'eau,3,89.0,1.0,0.0,1.0,prior,ESE,20,90.0,petit-lac,46.27396667,6.171216667
Crans,VD_Cra_1,ligne-d'eau,2,17.0,2.0,0.0,2.0,prior,SSE,6,19.0,petit-lac,46.35538333,6.214033333
Gland,VD_Gld_1,ligne-d'eau,2,26.0,8.0,6.0,14.0,prior,E,8,40.0,grand-lac,46.4188,6.290033333
Rolle,VD_Rol_1,ligne-d'eau,2,67.0,30.0,2.0,32.0,prior,SSO,60,99.0,grand-lac,46.36133333,6.350633333
Rolle,VD_Rol_2,ligne-d'eau,2,28.0,35.0,0.0,35.0,prior,SSO,60,63.0,grand-lac,46.36133333,6.350516667
Rolle,VD_Rol_3,ligne-d'eau,2,60.0,15.0,3.0,18.0,prior,SSO,60,78.0,grand-lac,46.36133333,6.350466667
Rolle,VD_Rol_4,ligne-d'eau,2,160.0,24.0,2.0,26.0,prior,SSO,60,186.0,grand-lac,46.46135,6.350333333
