place,fibres,fragments,temps,total,lat,lon,moyenne
Amphion,428,18,200,111.5,46.398,6.534,111
Anthy,123,43,90,55.333333333333336,46.352,6.404,55
Aubonne,248,66,200,62.8,46.46,6.391,62
Baby Plage,315,30,300,69.0,46.209,6.163,69
Bouveret,528,108,350,90.85714285714286,46.389,6.86,90
Clarens,195,22,120,54.25,46.439,6.89,54
Crans,17,2,6,19.0,46.355,6.214,19
Cully,117,11,7,128.0,46.489,6.741,128
Excenevex,820,86,720,113.25,46.35,6.36,113
Gland,26,14,8,40.0,46.419,6.29,40
Grangettes,655,1024,160,419.75,46.396,6.887,419
Hermance,249,17,200,66.5,46.304,6.241,66
Lugrin,302,31,105,111.0,46.405,6.668,111
Lutry,294,14,160,77.0,46.5,6.692,77
Meillerie,26,31,7,57.0,46.408,6.717,57
Pichette,200,16,60,72.0,46.47,6.816,72
Port Choiseul,359,25,420,64.0,46.29,6.171,64
Préverenges,1255,1168,800,242.3,46.511,6.53,242
Rolle,962,289,600,125.1,46.361,6.351,125
Saint-Disdille,905,174,180,179.83333333333334,46.401,6.502,179
Savonière,344,46,120,130.0,46.264,6.2,130
Tolochenaz,366,17,100,95.75,46.492,6.481,95
Tougues,358,48,270,67.66666666666667,46.325,6.257,67
Versoix,282,16,60,99.33333333333333,46.274,6.171,99
Vidy,437,32,270,78.16666666666667,46.511,6.611,78
