Plage,echantillon,position,substrat,added,fibres,fdure,souple,fragments,frequentation,situation,distance,orientation,lat,lon
Amphion,74_Amp_1,1,4,97.0,97.0,0.0,0.0,0.0,3.0,1.0,1.0,NE,46.39811667,6.534083333
Amphion,74_Amp_10,2,4,202.0,140.0,38.0,24.0,62.0,3.0,1.0,1.0,NNE,46.39811667,6.534083333
Amphion,74_Amp_2,1,4,136.0,121.0,3.0,12.0,15.0,3.0,1.0,1.0,NNE,46.39811667,6.534083333
Amphion,74_Amp_3,1,4,31.0,31.0,0.0,0.0,0.0,3.0,1.0,1.0,NE,46.39811667,6.534083333
Amphion,74_Amp_4,1,4,182.0,179.0,2.0,1.0,3.0,3.0,1.0,1.0,NNE,46.39811667,6.534083333
Amphion,74_Amp_5,2,4,83.0,70.0,6.0,7.0,13.0,3.0,1.0,1.0,NE,46.39811667,6.534083333
Amphion,74_Amp_6,2,4,188.0,167.0,7.0,14.0,21.0,3.0,1.0,1.0,NE,46.39811667,6.534083333
Amphion,74_Amp_7,2,4,55.0,44.0,9.0,2.0,11.0,3.0,1.0,1.0,NE,46.39811667,6.534083333
Amphion,74_Amp_8,2,4,51.0,46.0,1.0,4.0,5.0,3.0,1.0,1.0,NNE,46.39811667,6.534083333
Amphion,74_Amp_9,2,4,225.0,205.0,13.0,7.0,20.0,3.0,1.0,1.0,NNE,46.39811667,6.534083333
Anthy,74_Ant_1,1,4,38.0,29.0,5.0,4.0,9.0,2.0,1.0,1.0,NNO,46.35155,6.404266667
Anthy,74_Ant_2,1,4,57.0,33.0,8.0,16.0,24.0,2.0,1.0,1.0,NNO,46.35155,6.404266667
Anthy,74_Ant_3,1,4,71.0,61.0,9.0,1.0,10.0,2.0,1.0,1.0,NNO,46.35155,6.404266667
Anthy,74_Ant_4,2,4,200.0,166.0,13.0,21.0,34.0,2.0,1.0,1.0,NNO,46.35155,6.404266667
