Plage,Aire,Temps,Position,Substrat,Date,Saison,Objet,Détail,Code,OPSAR,UNEP,Quantité,Poids
Amphion,98,50,1,4,01.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Amphion,342,170,2,4,01.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,42,0.0042
Amphion,342,170,2,4,03.05.2022,2,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Amphion,98,50,1,4,19.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Amphion,342,170,2,4,19.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,11,0.0011
Amphion,98,50,1,4,18.10.2022,4,Anneau plastique bouteille,,G24,15,PL01,9,0.0009
Amphion,342,170,2,4,18.10.2022,4,Anneau plastique bouteille,,G24,15,PL01,11,0.0011
Aubonne,268,150,2,4,06.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Aubonne,72,40,1,4,10.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Baby Plage,112,60,1,1,22.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Baby Plage,384,200,2,1,23.04.2022,2,Anneau plastique bouteille,,G24,15,PL01,3,0.0003
Baby Plage,384,200,2,1,02.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Bouveret,99,50,1,1,15.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Bouveret,438,220,2,1,15.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,15,0.0015
Bouveret,99,50,1,1,30.04.2022,2,Anneau plastique bouteille,,G24,15,PL01,10,0.001
Bouveret,438,220,2,1,30.04.2022,2,Anneau plastique bouteille,,G24,15,PL01,14,0.0014
Bouveret,438,220,2,1,03.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Bouveret,99,50,1,1,03.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,4,0.0004
Bouveret,438,220,2,1,05.11.2022,4,Anneau plastique bouteille,,G24,15,PL01,6,0.0006
Clarens,67,30,1,4,29.04.2022,2,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Clarens,273,125,2,2,30.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Clarens,67,30,1,4,30.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Clarens,273,125,2,2,17.12.2022,4,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Excenevex,175,90,1,1,13.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Excenevex,1803,900,2,1,13.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Lugrin,72,35,1,4,06.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Lugrin,159,80,2,4,06.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,3,0.0003
Lugrin,159,80,2,4,07.05.2022,2,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Lugrin,159,80,2,4,02.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,4,0.0004
Préverenges,961,490,2,1,12.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Rolle,815,415,2,1,06.11.2022,4,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Saint-Disdille,75,30,1,4,29.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Saint-Disdille,259,100,2,4,29.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,10,0.001
Saint-Disdille,259,100,2,4,23.04.2022,2,Anneau plastique bouteille,,G24,15,PL01,10,0.001
Saint-Disdille,75,30,1,4,10.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,1,0.0001
Saint-Disdille,259,100,2,4,10.09.2022,3,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Saint-Disdille,75,30,1,4,22.10.2022,4,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Saint-Disdille,259,100,2,4,22.10.2022,4,Anneau plastique bouteille,,G24,15,PL01,6,0.0006
Savonnière,325,160,2,2,16.01.2022,1,Anneau plastique bouteille,,G24,15,PL01,4,0.0004
Vidy,413,210,2,1,04.02.2022,1,Anneau plastique bouteille,,G24,15,PL01,4,0.0004
Vidy,91,45,1,1,13.05.2022,2,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Vidy,413,210,2,1,13.05.2022,2,Anneau plastique bouteille,,G24,15,PL01,3,0.0003
Vidy,91,45,1,1,12.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,2,0.0002
Vidy,413,210,2,1,12.07.2022,3,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Vidy,413,210,2,1,18.10.2022,4,Anneau plastique bouteille,,G24,15,PL01,5,0.0005
Baby Plage,112,60,1,1,22.01.2022,1,Balle/Ballon de sport,,G126,,RB01,1,0.45
Grangettes,79,40,1,1,02.05.2022,2,Balle/Ballon de sport,,G126,,RB01,1,0.45
Grangettes,79,40,1,1,18.07.2022,3,Balle/Ballon de sport,,G126,,RB01,1,0.45
Lugrin,159,80,2,4,07.05.2022,2,Balle/Ballon de sport,,G126,,RB01,3,1.35
Amphion,98,50,1,4,19.07.2022,3,Ballon de baudruche,,G125,49,RB01,1,0.0008
Aubonne,72,40,1,4,14.05.2022,2,Ballon de baudruche,,G125,49,RB01,1,0.0008
Baby Plage,112,60,1,1,22.01.2022,1,Ballon de baudruche,,G125,49,RB01,1,0.0008
Baby Plage,384,200,2,1,22.01.2022,1,Ballon de baudruche,,G125,49,RB01,1,0.0008
Baby Plage,112,60,1,1,15.10.2022,4,Ballon de baudruche,,G125,49,RB01,1,0.0008
Bouveret,99,50,1,1,15.01.2022,1,Ballon de baudruche,,G125,49,RB01,2,0.0016
Bouveret,438,220,2,1,15.01.2022,1,Ballon de baudruche,,G125,49,RB01,5,0.004
Bouveret,99,50,1,1,03.09.2022,3,Ballon de baudruche,,G125,49,RB01,4,0.0032
Bouveret,438,220,2,1,05.11.2022,4,Ballon de baudruche,,G125,49,RB01,3,0.0024
