,quantity,%,pcs_m,fail rate
Gfrags,11221,0.40814025388280656,0.32,0.9693877551020408
G27,3089,0.11235587240388463,0.12087912087912088,0.7857142857142857
G30,2080,0.07565562143090969,0.13333333333333333,0.7448979591836735
G106,1926,0.07005419561342888,0.175,0.40816326530612246
G112,1526,0.05550503764594624,0.09876543209876543,0.35714285714285715
Gfoams,1399,0.050885679991270506,0.09083333333333332,0.7244897959183674
Gcaps,1070,0.03891899756301604,0.05714285714285714,0.6530612244897959
G95,1040,0.037827810715454845,0.11208791208791208,0.5408163265306123
G74,406,0.014767395336994872,0.05102040816326531,0.37755102040816324
G89,380,0.013821700069108501,0.038461538461538464,0.24489795918367346
G31,379,0.013785327174189795,0.04,0.5408163265306123
