slug,location,latitude,longitude,water_name,city,river_bassin
aabach,Aabach,47.220989,8.940365,Zürichsee,Schmerikon,linth
aare-limmatspitz,Aare Limmatspitz,47.50106,8.237371,Aare,Gebenstorf,aare
aare-port,Aare Port,47.11617,7.26955,Nidau-Büren-Kanal,Port,aare
aare-solothurn-lido-strand,Aare Solothurn Lido Strand,47.196949,7.521643,Aare,Solothurn,aare
aare_bern_caveltin,Aare_Bern_CaveltiN,46.9235788,7.4733191,Aare,Muri bei Bern,aare
aare_bern_gerberm,Aare_bern_gerberm,46.9893631,7.4520977,Aare,Bern,aare
aare_bern_scheurerk,aare_bern_scheurerk,46.9709672,7.4525857,Aare,Bern,aare
aare_brugg_buchie,Aare_Brugg_BuchiE,47.4948553,8.2365581,Aare,Brugg,aare
aare_elfenau_cataldiv,Aare_Elfenau_cataldiv,46.9310201,7.4629605,Aare,Bern,aare
aare_kehrsatz_stolten,aare_kehrsatz_stolten,46.9235719,7.4883011,Aare,Belp,aare
aare_koniz_hoppej,aare_köniz_hoppej,46.9345885,7.4581703,Aare,Köniz,aare
aare_post,Aare_post,47.116665,7.271953,Nidau-Büren-Kanal,Port,aare
aare_rupperswil_badert,aare_rupperswil_badert,47.410309,8.1125537,Aare,Rupperswil,aare
aare_solothurn_nguyena,aare_solothurn_nguyena,47.1977495,7.5242247,Aare,Solothurn,aare
aare_suhrespitz_badert,aare_suhrespitz_badert,47.4056692,8.066018,Aare,Aarau,aare
aarezufluss_bern_scheurerk,aarezufluss_bern_scheurerk,46.9710097,7.4527897,Aare,Bern,aare
anarchy-beach,Anarchy Beach,46.447216,6.859612,Lac Léman,La Tour-de-Peilz,rhone
arabie,Arabie,46.462099,6.834972,Lac Léman,Vevey,rhone
arve_carouge_battistellak,arve_carouge_battistellak,46.1784912,6.1543187,Arve,Veyrier,rhone
ascona-traghetto-spiaggia,Ascona traghetto spiaggia,46.153882,8.76848,Lago Maggiore,Ascona,ticino
augustmutzenbergstrandweg,AugustMützenbergStrandweg,46.68664,7.68976,Thunersee,Spiez,aare
baby-plage-geneva,Baby Plage Geneva,46.208558,6.162923,Lac Léman,Genève,rhone
baby-plage-ii-geneve,Baby-Plage II Genève,46.20894,6.16433,Lac Léman,Genève,rhone
bagno-pubblico-ascona,Bagno Pubblico Ascona,46.147565,8.779144,Lago Maggiore,Ascona,ticino
bain-des-dames,Bain des Dames,46.4505068,6.8580918,Lac Léman,La Tour-de-Peilz,rhone
baye-de-clarens,Baye de Clarens,46.439787,6.888903,Lac Léman,Montreux,rhone
baye-de-montreux-d,Baye de Montreux D,46.430962,6.908673,Lac Léman,Montreux,rhone
baye-de-montreux-g,Baye de Montreux G,46.430834,6.908778,Lac Léman,Montreux,rhone
beich,Beich,47.048495,7.200528,Aare,Walperswil,aare
berlingen-swisslitterreport,Berlingen swisslitterreport,47.6724312,9.0110553,Untersee,Berlingen,rhine
bern-fahrstrasse,Bern Fahrstrasse,46.975866,7.44421,Aare,Bern,aare
bern-tiergarten,Bern Tiergarten,46.9331574,7.4520041,Aare,Bern,aare
bielersee_vinelz_fankhausers,Bielersee_Vinelz_FankhauserS,47.0383984,7.1083114,Bielersee,Vinelz,aare
birs_basel_grunern,Birs_Basel_GrunerN,47.5511276,7.6221988,Birs,Basel,aare
birs_basel_laderachs,Birs_basel_lÃ¤derachs,47.5460497,7.6225981,Birs,Basel,aare
birs_reinach_dinuccin,Birs_Reinach_DiNucciN,47.5036817,7.6070085,Birs,Reinach (BL),aare
