Plage,echantillon,orientation,position,substrat,frequentation,situation,distance,objet,compte,lat,lon
Amphion,74_Amp_1,NE,1,4,3,1,1,fibres,97,46.39811667,6.534083333
Amphion,74_Amp_10,NNE,2,4,3,1,1,fibres,140,46.39811667,6.534083333
Amphion,74_Amp_2,NNE,1,4,3,1,1,fibres,121,46.39811667,6.534083333
Amphion,74_Amp_3,NE,1,4,3,1,1,fibres,31,46.39811667,6.534083333
Amphion,74_Amp_4,NNE,1,4,3,1,1,fibres,179,46.39811667,6.534083333
Amphion,74_Amp_5,NE,2,4,3,1,1,fibres,70,46.39811667,6.534083333
Amphion,74_Amp_6,NE,2,4,3,1,1,fibres,167,46.39811667,6.534083333
Amphion,74_Amp_7,NE,2,4,3,1,1,fibres,44,46.39811667,6.534083333
Amphion,74_Amp_8,NNE,2,4,3,1,1,fibres,46,46.39811667,6.534083333
Amphion,74_Amp_9,NNE,2,4,3,1,1,fibres,205,46.39811667,6.534083333
Anthy,74_Ant_1,NNO,1,4,2,1,1,fibres,29,46.35155,6.404266667
Anthy,74_Ant_2,NNO,1,4,2,1,1,fibres,33,46.35155,6.404266667
Anthy,74_Ant_3,NNO,1,4,2,1,1,fibres,61,46.35155,6.404266667
Anthy,74_Ant_4,NNO,2,4,2,1,1,fibres,166,46.35155,6.404266667
Anthy,74_Ant_5,NNO,2,4,2,1,1,fibres,105,46.35155,6.404266667
Anthy,74_Ant_6,NNO,2,4,2,1,1,fibres,156,46.35155,6.404266667
Excenevex,74_Exc_1,NE,1,1,3,1,1,fibres,84,46.34981667,6.3595
Excenevex,74_Exc_10,NE,2,1,3,1,1,fibres,110,46.34981667,6.3595
Excenevex,74_Exc_11,NE,2,1,3,1,1,fibres,98,46.34981667,6.3595
Excenevex,74_Exc_13,NE,2,1,3,1,1,fibres,68,46.34981667,6.3595
Excenevex,74_Exc_14,NE,2,1,3,1,1,fibres,76,46.34981667,6.3595
Excenevex,74_Exc_15,NE,2,1,3,1,1,fibres,124,46.34981667,6.3595
Excenevex,74_Exc_17,NE,2,1,3,1,1,fibres,97,46.34981667,6.3595
Excenevex,74_Exc_18,NE,2,1,3,1,1,fibres,108,46.34981667,6.3595
Excenevex,74_Exc_19,NE,2,1,3,1,1,fibres,78,46.34981667,6.3595
Excenevex,74_Exc_20,NE,2,1,3,1,1,fibres,44,46.34981667,6.3595
