,MOUSSE,,,,,,BILLE/PELET,,,,,,FILM,,,,,,,,,,,,,,,
Echantillon,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,Rouge,Bleu,Jaune/orange,Blanc/transparent,Noir/gris,Autre,,,,,,Plage,Echantillon,Fibres,Particules dures,Particules souples
74_Amp_1,,,,,,,,,,,,,,,,,,,,,,,,Amphion,74_Amp_1,97,0,0
74_Amp_10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,Amphion,74_Amp_10,140,38,24
74_Amp_2,,,,,,,,,,,,,,,,,,,,,,,,Amphion,74_Amp_2,121,3,12
74_Amp_3,,,,,,,,,,,,,,,,,,,,,,,,Amphion,74_Amp_3,31,0,0
74_Amp_4,,,,,,,,,,,,,,,,,,,,,,,,Amphion,74_Amp_4,179,2,1
74_Amp_5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Amphion,74_Amp_5,70,6,7
74_Amp_6,,,,,,,,,,,,,,,,,,,,,,,,Amphion,74_Amp_6,167,7,14
74_Amp_7,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,Amphion,74_Amp_7,44,9,2
74_Amp_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Amphion,74_Amp_8,46,1,4
74_Amp_9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,Amphion,74_Amp_9,205,13,7
74_Ant_1,,,,,,,,,,,,,,,,,,,,,,,,Anthy,74_Ant_1,29,5,4
74_Ant_2,,,,,,,,,,,,,,,,,,,,,,,,Anthy,74_Ant_2,33,8,16
74_Ant_3,,,,,,,,,,,,,,,,,,,,,,,,Anthy,74_Ant_3,61,9,1
74_Ant_4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Anthy,74_Ant_4,166,13,21
74_Ant_5,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,,,,,,Anthy,74_Ant_5,105,4,6
74_Ant_6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Anthy,74_Ant_6,156,16,32
74_Exc_1,,,,,,,,,,,,,,,,,,,,,,,,Excenevex,74_Exc_1,84,13,21
74_Exc_10,0,0,0,23,2,0,0,0,1,0,1,0,0,0,0,70,0,0,,,,,,Excenevex,74_Exc_10,110,41,49
74_Exc_11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,Excenevex,74_Exc_11,98,11,3
74_Exc_13,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,Excenevex,74_Exc_13,68,32,19
