location,area,time,position,substrate,date,season,description,code,quantity,weight,
Amphion,98,50,1,4,01.02.2022,1,Anneau plastique bouteille,G24,2,0.0002,
Amphion,98,50,1,4,01.02.2022,1,Baguette en bois,G165,3,0.006,
Amphion,98,50,1,4,01.02.2022,1,Bâtonnet de sucette en plastique,G31,2,0.00036,
Amphion,98,50,1,4,01.02.2022,1,Cartouche/munition/balle/douille de chasse en plastique,G70,1,0.0031,
Amphion,98,50,1,4,01.02.2022,1,Corde entre 30cm et 1 mètre,G49,1,0.3,
Amphion,98,50,1,4,01.02.2022,1,Coton-tige,G95,10,0.0018,
Amphion,98,50,1,4,01.02.2022,1,Couvercle en plastique non-identifié,G23,1,0.007,
Amphion,98,50,1,4,01.02.2022,1,Couvercle/capuchon/bouchon plastique PET,G24,3,0.012,
Amphion,98,50,1,4,01.02.2022,1,Emballage (film) à nourriture/alimentaire/en plastique/bonbon/chips,G30,14,0.0082,
Amphion,98,50,1,4,01.02.2022,1,Etiquette/Code barre,G922,1,0.0025,
Amphion,98,50,1,4,01.02.2022,1,Filaments de plastique de moins de 5 mm,G113,1,0.00002,
Amphion,98,50,1,4,01.02.2022,1,Film plastique non-alimentaire de moins de 5 mm,G114,4,0.000012,
Amphion,98,50,1,4,01.02.2022,1,Grille en plastique STEP,G932,1,0.00107,
Amphion,98,50,1,4,01.02.2022,1,Morceau de papier de moins de 5cm,G156,1,0.001,
Amphion,98,50,1,4,01.02.2022,1,"Morceau de plastique de moins de 2,5cm","G78, G79",8,0.0024,
Amphion,98,50,1,4,01.02.2022,1,"Morceau de plastique entre 2,5 et 50cm",G79,12,0.036,
Amphion,98,50,1,4,01.02.2022,1,Paille pour boisson,G35,1,0.001,
Amphion,98,50,1,4,01.02.2022,1,Rubalise/ruban de signalisation/de chantier en plastique,G124,1,0.01,
Amphion,98,50,1,4,01.02.2022,1,"Sagex-EPS/Polystirène expensé entre 2,5cm et 50cm",G82,4,0.016,
Anthy-Séchex,62,30,1,4,09.02.2022,1,Morceau de filet de pêche de moins de 50 cm,G53,1,0.04,
Anthy-Séchex,62,30,1,4,09.02.2022,1,"Morceau de plastique de moins de 2,5cm","G78, G79",8,0.0024,
Anthy-Séchex,62,30,1,4,09.02.2022,1,Pellets/Nurdles industriels,G112,1,0.000025,
Aubonne,72,40,1,4,06.02.2022,1,Couvercle en plastique non-identifié,G23,1,0.007,
Aubonne,72,40,1,4,06.02.2022,1,Emballage/papier alimentaire en aluminium,G177,2,0.006,
Aubonne,72,40,1,4,06.02.2022,1,Mégot de cigarette,G27,3,0.00066,
Aubonne,72,40,1,4,06.02.2022,1,Morceau de métal de moins de 5cm,G198,1,0.006,
Aubonne,72,40,1,4,06.02.2022,1,"Morceau de plastique de moins de 2,5cm","G78, G79",3,0.0009,
Aubonne,72,40,1,4,06.02.2022,1,Morceau de verre/bouteille de moins de 5cm,G200,82,0.328,
Aubonne,72,40,1,4,06.02.2022,1,Sagex-EPS/Polystirène expensé de moins de 5mm,G117,1,1.88679245283019E-06,
Baby plage,112,60,1,1,22.01.2022,1,Anneau plastique bouteille,G24,1,0.0001,
Baby plage,112,60,1,1,22.01.2022,1,Balle/Ballon de sport,G126,1,0.45,
Baby plage,112,60,1,1,22.01.2022,1,Ballon de baudruche,G125,1,0.0008,
Baby plage,112,60,1,1,22.01.2022,1,Briquet,G26,1,0.012,
Baby plage,112,60,1,1,22.01.2022,1,Canette,G175,4,0.096,
Baby plage,112,60,1,1,22.01.2022,1,Capsule/capuchon de bouteille en aluminium,G175,2,0.0036,
Baby plage,112,60,1,1,22.01.2022,1,Coton-tige,G95,1,0.00018,
Baby plage,112,60,1,1,22.01.2022,1,Couvercle en plastique non-identifié,G23,1,0.007,
Baby plage,112,60,1,1,22.01.2022,1,Couvercle/capuchon aluminium/fer blanc,G178,1,0.003,
Baby plage,112,60,1,1,22.01.2022,1,Couvercle/capuchon/bouchon plastique PET,G24,1,0.004,
Baby plage,112,60,1,1,22.01.2022,1,Élastique pour les cheveux,G131,1,0.001,
Baby plage,112,60,1,1,22.01.2022,1,Emballage (film) à nourriture/alimentaire/en plastique/bonbon/chips,G30,6,0.0035,
Baby plage,112,60,1,1,22.01.2022,1,Emballage/papier alimentaire en aluminium,G177,2,0.006,
Baby plage,112,60,1,1,22.01.2022,1,Jouet en plastique,G32,2,0.2,
Baby plage,112,60,1,1,22.01.2022,1,Livre,G158,1,0.53,
Baby plage,112,60,1,1,22.01.2022,1,Masque chirurgical/protection/hygiène,G901,1,0.006,
Baby plage,112,60,1,1,22.01.2022,1,Mégot de cigarette,G27,2,0.00044,
Baby plage,112,60,1,1,22.01.2022,1,Morceau de caoutchouc entre 5 et 30cm,G134,1,0.01,
Baby plage,112,60,1,1,22.01.2022,1,Morceau de métal de moins de 5cm,G198,2,0.012,
Baby plage,112,60,1,1,22.01.2022,1,"Morceau de plastique de moins de 2,5cm","G78, G79",2,0.0006,
Baby plage,112,60,1,1,22.01.2022,1,"Morceau de plastique entre 2,5 et 50cm",G79,1,0.003,
Baby plage,112,60,1,1,22.01.2022,1,Morceau de verre/bouteille de moins de 5cm,G200,5,0.02,
Baby plage,112,60,1,1,22.01.2022,1,Morceaux/fragments de plastique anguleux de moins de 5mm,G106,2,0.000042,
Baby plage,112,60,1,1,22.01.2022,1,Paille pour boisson,G35,1,0.001,
Baby plage,112,60,1,1,22.01.2022,1,Pansement/Sparadrap/Bande,G211,1,0.0002,
Baby plage,112,60,1,1,22.01.2022,1,Pneu velo,G128,3,1.2,
Clarens,67,30,1,4,16.01.2022,1,Coton-tige,G95,13,0.00234,
Clarens,67,30,1,4,16.01.2022,1,Déchet de construction/chantier en plastique,G89,1,0.5,
Clarens,67,30,1,4,16.01.2022,1,Emballage (film) à nourriture/alimentaire/en plastique/bonbon/chips,G30,11,0.0064,
Clarens,67,30,1,4,16.01.2022,1,Filaments de plastique de moins de 5 mm,G113,6,0.00012,
Clarens,67,30,1,4,16.01.2022,1,Mégot de cigarette,G27,3,0.00066,
Clarens,67,30,1,4,16.01.2022,1,Morceau de céramique de moins de 5cm,G210,2,0.01,
Clarens,67,30,1,4,16.01.2022,1,Morceau de métal entre 5 et 30cm,G198,1,0.1,
Clarens,67,30,1,4,16.01.2022,1,Morceau de verre/bouteille de moins de 5cm,G200,53,0.212,
Clarens,67,30,1,4,16.01.2022,1,Paille pour boisson,G35,1,0.001,
Clarens,67,30,1,4,16.01.2022,1,Pellets/Nurdles industriels,G112,3,0.000075,
Clarens,67,30,1,4,16.01.2022,1,"Sagex-EPS/Polystirène expensé entre 0,5cm et 2,5cm",G81,7,0.0056,
Clarens,67,30,1,4,16.01.2022,1,"Sagex-EPS/Polystirène expensé entre 2,5cm et 50cm",G82,1,0.004,
Clarens,67,30,1,4,16.01.2022,1,Serviette/mouchoir en papier,G158,1,0.002,
