location,pcs_m,orientation,lat,lon
Amphion,6.835,NE,46.39811667,6.534083333
Anthy,0.5175000000000001,NNO,46.35155,6.404266667
Aubonne,4.0600000000000005,ONO,46.46026667,6.39115
Baby Plage,3.54,NNE,46.20878333,6.16285
Bouveret,7.23,ONO,46.389,6.859816667
Clarens,9.013333333333334,SSO,46.43941667,6.889566667
Crans,0.89,SSE,46.35538333,6.214033333
Cully,1.2550000000000001,SO,46.48895,6.7414
Excenevex,15.05,NE,46.34981667,6.3595
Gland,3.2425,E,46.4188,6.290033333
Grangettes,14.89,NO,46.39621667,6.886716667
Lugrin,10.675,NNE,46.40485,6.667833333
Lutry,2.24,SSE,46.49995,6.69245
Meillerie,1.83,N,46.40773333,6.716533333
Pichette,0.8233333333333334,SSE,46.46991667,6.815783333
Port Choiseul,4.42,NE,46.28966667,6.170716667
Préverenges,5.0600000000000005,SO,46.51141667,6.529916667
Rolle,4.376666666666667,SSO,46.46133333,6.350633333
Saint-Disdille,5.237500000000001,N,46.40105,6.502066667
Savonière,4.317500000000001,NO,46.26413333,6.199733333
Tolochenaz,0.77,SE,46.4917,6.48075
Tougues,2.6875,NO,46.32471667,6.256883333
Versoix,3.8000000000000003,ESE,46.27405,6.171316667
Vidy,8.262500000000001,SO,46.51121667,6.6109
