,place,orientation,direction,lat,lon,région,fragments,fibres,total
0,Amphion,NE,45.0,46.398,6.53435,grand-lac,0.0,31.0,31.0
1,Amphion,NE,45.0,46.39811667,6.534083333,grand-lac,0.0,97.0,97.0
2,Amphion,NNE,22.5,46.39791667,6.534583333,grand-lac,3.0,179.0,182.0
3,Amphion,NNE,22.5,46.39801667,6.53425,grand-lac,15.0,121.0,136.0
4,Anthy,NNO,337.5,46.35155,6.404266667,grand-lac,9.0,29.0,38.0
5,Anthy,NNO,337.5,46.35158333,6.404566667,grand-lac,24.0,33.0,57.0
6,Anthy,NNO,337.5,46.35163333,6.404833333,grand-lac,10.0,61.0,71.0
7,Aubonne,O,270.0,46.46033333,6.391183333,grand-lac,8.0,51.0,59.0
8,Aubonne,ONO,292.5,46.46026667,6.39115,grand-lac,5.0,39.0,44.0
9,Aubonne,OSO,247.5,46.46041667,6.391166667,grand-lac,3.0,86.0,89.0
10,Aubonne,OSO,247.5,46.46046667,6.391133333,grand-lac,37.0,30.0,67.0
11,Aubonne,SO,225.0,46.46051667,6.39115,grand-lac,13.0,42.0,55.0
12,Baby Plage,N,0.0,46.20873333,6.163116667,petit-lac,3.0,122.0,125.0
13,Baby Plage,N,0.0,46.20873333,6.16325,petit-lac,1.0,31.0,32.0
14,Baby Plage,N,0.0,46.20875,6.163383333,petit-lac,6.0,21.0,27.0
15,Baby Plage,N,0.0,46.20878333,6.163466667,petit-lac,19.0,119.0,138.0
16,Baby Plage,NNE,22.5,46.20878333,6.16285,petit-lac,1.0,22.0,23.0
17,Bouveret,O,270.0,46.38915,6.85985,haut-lac,1.0,36.0,37.0
18,Bouveret,O,270.0,46.3892,6.859866667,haut-lac,20.0,37.0,57.0
19,Bouveret,O,270.0,46.38931667,6.859866667,haut-lac,59.0,199.0,258.0
20,Bouveret,ONO,292.5,46.389,6.859816667,haut-lac,14.0,68.0,82.0
21,Bouveret,ONO,292.5,46.3891,6.859833333,haut-lac,9.0,100.0,109.0
22,Bouveret,OSO,247.5,46.3894,6.859866667,haut-lac,0.0,35.0,35.0
23,Bouveret,OSO,247.5,46.38951667,6.859816667,haut-lac,5.0,53.0,58.0
24,Clarens,SSO,202.5,46.4394,6.889466667,haut-lac,5.0,84.0,89.0
25,Clarens,SSO,202.5,46.43941667,6.889566667,haut-lac,8.0,44.0,52.0
26,Clarens,SSO,202.5,46.43943333,6.889266667,haut-lac,2.0,25.0,27.0
27,Clarens,SSO,202.5,46.43943333,6.889383333,haut-lac,7.0,42.0,49.0
28,Crans,SSE,157.5,46.35538333,6.214033333,petit-lac,2.0,17.0,19.0
29,Cully,SO,225.0,46.48895,6.7414,grand-lac,11.0,117.0,128.0
30,Excenevex,NE,45.0,46.3494,6.360266667,grand-lac,2.0,126.0,128.0
31,Excenevex,NE,45.0,46.34948333,6.360116667,grand-lac,3.0,120.0,123.0
32,Excenevex,NE,45.0,46.34955,6.360016667,grand-lac,3.0,125.0,128.0
33,Excenevex,NE,45.0,46.3496,6.359933333,grand-lac,5.0,33.0,38.0
34,Excenevex,NE,45.0,46.34965,6.359816667,grand-lac,12.0,39.0,51.0
35,Excenevex,NE,45.0,46.34973333,6.359666667,grand-lac,21.0,109.0,130.0
36,Excenevex,NE,45.0,46.34978333,6.359583333,grand-lac,6.0,184.0,190.0
37,Excenevex,NE,45.0,46.34981667,6.3595,grand-lac,34.0,84.0,118.0
38,Gland,E,90.0,46.4188,6.290033333,grand-lac,14.0,26.0,40.0
39,Grangettes,NO,315.0,46.39621667,6.886716667,haut-lac,516.0,181.0,697.0
40,Grangettes,NO,315.0,46.39626667,6.8868,haut-lac,176.0,112.0,288.0
41,Grangettes,NO,315.0,46.39631667,6.88685,haut-lac,10.0,89.0,99.0
42,Grangettes,NO,315.0,46.39636667,6.886933333,haut-lac,322.0,273.0,595.0
43,Hermance,OSO,247.5,46.30358333,6.240833333,petit-lac,3.0,79.0,82.0
44,Hermance,OSO,247.5,46.3037,6.240683333,petit-lac,1.0,25.0,26.0
45,Hermance,OSO,247.5,46.30378333,6.24065,petit-lac,4.0,69.0,73.0
46,Hermance,OSO,247.5,46.3039,6.24065,petit-lac,9.0,76.0,85.0
47,Lugrin,N,0.0,46.40485,6.66805,haut-lac,9.0,126.0,135.0
48,Lugrin,NNE,22.5,46.40485,6.667833333,haut-lac,16.0,110.0,126.0
49,Lugrin,NNO,337.5,46.40483333,6.668216667,haut-lac,6.0,66.0,72.0
50,Lutry,SE,135.0,46.4997,6.692066667,grand-lac,2.0,39.0,41.0
51,Lutry,SE,135.0,46.49976667,6.69215,grand-lac,4.0,68.0,72.0
52,Lutry,SE,135.0,46.49988333,6.692283333,grand-lac,8.0,61.0,69.0
53,Lutry,SSE,157.5,46.49995,6.69245,grand-lac,0.0,126.0,126.0
54,Meillerie,N,0.0,46.40773333,6.716533333,haut-lac,31.0,26.0,57.0
55,Pichette,S,180.0,46.46988333,6.815566667,haut-lac,6.0,107.0,113.0
56,Pichette,SSE,157.5,46.4699,6.815483333,haut-lac,8.0,75.0,83.0
57,Pichette,SSE,157.5,46.46991667,6.815783333,haut-lac,2.0,18.0,20.0
58,Port Choiseul,NE,45.0,46.28928333,6.170966667,petit-lac,1.0,84.0,85.0
59,Port Choiseul,NE,45.0,46.28936667,6.17095,petit-lac,1.0,35.0,36.0
60,Port Choiseul,NE,45.0,46.28941667,6.1709,petit-lac,8.0,62.0,70.0
61,Port Choiseul,NE,45.0,46.28946667,6.17085,petit-lac,11.0,80.0,91.0
62,Port Choiseul,NE,45.0,46.28955,6.170783333,petit-lac,1.0,61.0,62.0
63,Port Choiseul,NE,45.0,46.28966667,6.170716667,petit-lac,3.0,37.0,40.0
64,Préverenges,SO,225.0,46.51141667,6.529916667,grand-lac,19.0,179.0,198.0
65,Préverenges,SO,225.0,46.51146667,6.5299,grand-lac,644.0,240.0,884.0
66,Préverenges,SO,225.0,46.51158333,6.529683333,grand-lac,230.0,251.0,481.0
67,Préverenges,SO,225.0,46.51166667,6.529533333,grand-lac,42.0,36.0,78.0
68,Préverenges,SO,225.0,46.51173333,6.529383333,grand-lac,61.0,67.0,128.0
69,Préverenges,SO,225.0,46.51188333,6.529083333,grand-lac,17.0,69.0,86.0
70,Préverenges,SO,225.0,46.51195,6.529016667,grand-lac,38.0,110.0,148.0
71,Préverenges,SO,225.0,46.512,6.528883333,grand-lac,19.0,132.0,151.0
72,Préverenges,SO,225.0,46.51208333,6.528733333,grand-lac,56.0,118.0,174.0
73,Préverenges,SO,225.0,46.51215,6.528616667,grand-lac,42.0,53.0,95.0
74,Rolle,S,180.0,46.46133333,6.349783333,grand-lac,13.0,72.0,85.0
75,Rolle,S,180.0,46.46136667,6.3502,grand-lac,49.0,145.0,194.0
76,Rolle,S,180.0,46.46136667,6.350266667,grand-lac,23.0,98.0,121.0
77,Rolle,S,180.0,46.46138333,6.350133333,grand-lac,23.0,177.0,200.0
78,Rolle,SSE,157.5,46.46135,6.3499,grand-lac,23.0,72.0,95.0
79,Rolle,SSE,157.5,46.46136667,6.35005,grand-lac,47.0,83.0,130.0
80,Rolle,SSO,202.5,46.36133333,6.350466667,grand-lac,18.0,60.0,78.0
81,Rolle,SSO,202.5,46.36133333,6.350516667,grand-lac,35.0,28.0,63.0
82,Rolle,SSO,202.5,46.36133333,6.350633333,grand-lac,32.0,67.0,99.0
83,Rolle,SSO,202.5,46.46135,6.350333333,grand-lac,26.0,160.0,186.0
84,Saint-Disdille,N,0.0,46.40105,6.502066667,grand-lac,17.0,79.0,96.0
85,Saint-Disdille,N,0.0,46.40106667,6.502333333,grand-lac,25.0,221.0,246.0
86,Saint-Disdille,NNO,337.5,46.40106667,6.502516667,grand-lac,73.0,261.0,334.0
87,Saint-Disdille,NNO,337.5,46.4011,6.502683333,grand-lac,16.0,115.0,131.0
88,Saint-Disdille,NNO,337.5,46.40115,6.50275,grand-lac,1.0,116.0,117.0
89,Saint-Disdille,NO,315.0,46.40126667,6.502916667,grand-lac,42.0,113.0,155.0
90,Savonière,NO,315.0,46.26413333,6.199733333,petit-lac,10.0,110.0,120.0
91,Savonière,NO,315.0,46.26416667,6.199916667,petit-lac,2.0,24.0,26.0
92,Savonière,OSO,247.5,46.26426667,6.20005,petit-lac,34.0,210.0,244.0
93,Tolochenaz,ENE,67.5,46.49158333,6.480633333,grand-lac,7.0,82.0,89.0
94,Tolochenaz,ENE,67.5,46.4916,6.480583333,grand-lac,6.0,176.0,182.0
95,Tolochenaz,SE,135.0,46.49166667,6.4807,grand-lac,1.0,54.0,55.0
96,Tolochenaz,SE,135.0,46.4917,6.48075,grand-lac,3.0,54.0,57.0
97,Tougues,NO,315.0,46.32471667,6.256883333,petit-lac,11.0,63.0,74.0
98,Tougues,NO,315.0,46.32481667,6.256983333,petit-lac,5.0,161.0,166.0
99,Tougues,NO,315.0,46.32491667,6.257066667,petit-lac,12.0,21.0,33.0
100,Tougues,NO,315.0,46.32501667,6.257233333,petit-lac,5.0,20.0,25.0
101,Tougues,NO,315.0,46.32515,6.25735,petit-lac,8.0,43.0,51.0
102,Tougues,NO,315.0,46.32535,6.257533333,petit-lac,7.0,50.0,57.0
103,Versoix,ESE,112.5,46.27396667,6.171216667,petit-lac,1.0,89.0,90.0
104,Versoix,ESE,112.5,46.274,6.171316667,petit-lac,12.0,134.0,146.0
105,Versoix,ESE,112.5,46.27405,6.171316667,petit-lac,3.0,59.0,62.0
106,Vidy,S,180.0,46.51133333,6.610416667,grand-lac,15.0,36.0,51.0
107,Vidy,S,180.0,46.51133333,6.6106,grand-lac,2.0,24.0,26.0
108,Vidy,SO,225.0,46.51121667,6.6109,grand-lac,2.0,102.0,104.0
109,Vidy,SO,225.0,46.51126667,6.610783333,grand-lac,11.0,202.0,213.0
110,Vidy,SO,225.0,46.51131667,6.61065,grand-lac,1.0,39.0,40.0
111,Vidy,SSE,157.5,46.51131667,6.611033333,grand-lac,1.0,34.0,35.0
