,place,région,fragments,fibres,total,lat,lon,direction
0,Amphion,grand-lac,18.0,428.0,446.0,46.398,6.53435,45.0
1,Anthy,grand-lac,43.0,123.0,166.0,46.35155,6.404266667,337.5
2,Aubonne,grand-lac,66.0,248.0,314.0,46.46033333,6.391183333,270.0
3,Baby Plage,petit-lac,30.0,315.0,345.0,46.20873333,6.163116667,0.0
4,Bouveret,haut-lac,108.0,528.0,636.0,46.38915,6.85985,270.0
5,Clarens,haut-lac,22.0,195.0,217.0,46.4394,6.889466667,202.5
6,Crans,petit-lac,2.0,17.0,19.0,46.35538333,6.214033333,157.5
7,Cully,grand-lac,11.0,117.0,128.0,46.48895,6.7414,225.0
8,Excenevex,grand-lac,86.0,820.0,906.0,46.3494,6.360266667,45.0
9,Gland,grand-lac,14.0,26.0,40.0,46.4188,6.290033333,90.0
10,Grangettes,haut-lac,1024.0,655.0,1679.0,46.39621667,6.886716667,315.0
11,Hermance,petit-lac,17.0,249.0,266.0,46.30358333,6.240833333,247.5
12,Lugrin,haut-lac,31.0,302.0,333.0,46.40485,6.66805,0.0
13,Lutry,grand-lac,14.0,294.0,308.0,46.4997,6.692066667,135.0
14,Meillerie,haut-lac,31.0,26.0,57.0,46.40773333,6.716533333,0.0
15,Pichette,haut-lac,16.0,200.0,216.0,46.46988333,6.815566667,180.0
16,Port Choiseul,petit-lac,25.0,359.0,384.0,46.28928333,6.170966667,45.0
17,Préverenges,grand-lac,1168.0,1255.0,2423.0,46.51141667,6.529916667,225.0
18,Rolle,grand-lac,289.0,962.0,1251.0,46.46133333,6.349783333,180.0
19,Saint-Disdille,grand-lac,174.0,905.0,1079.0,46.40105,6.502066667,0.0
20,Savonière,petit-lac,46.0,344.0,390.0,46.26413333,6.199733333,315.0
21,Tolochenaz,grand-lac,17.0,366.0,383.0,46.49158333,6.480633333,67.5
22,Tougues,petit-lac,48.0,358.0,406.0,46.32471667,6.256883333,315.0
23,Versoix,petit-lac,16.0,282.0,298.0,46.27396667,6.171216667,112.5
24,Vidy,grand-lac,32.0,437.0,469.0,46.51133333,6.610416667,180.0
