p,E,z,m,fr,fb,fj,fw,fn,fa,fdr,fdb,fdj,fdw,fdn,fda,fsr,fsb,fsj,fsw,fsn,fsa,added,fibres,fdure,souple,fragments
Hermance,GE_Her_1,ligne-d'eau,3,4.0,14.0,0.0,51.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,79.0,3.0,0.0,3.0
Hermance,GE_Her_2,ligne-d'eau,3,3.0,2.0,0.0,15.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,25.0,1.0,0.0,1.0
Hermance,GE_Her_3,ligne-d'eau,3,5.0,7.0,2.0,26.0,29.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,69.0,4.0,0.0,4.0
Hermance,GE_Her_4,ligne-d'eau,3,6.0,12.0,1.0,24.0,32.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,76.0,9.0,0.0,9.0
Savonière,GE_Sav_1,ligne-d'eau,4,7.0,10.0,0.0,69.0,23.0,1.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,110.0,10.0,0.0,10.0
Savonière,GE_Sav_2,ligne-d'eau,4,0.0,1.0,0.0,13.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,24.0,2.0,0.0,2.0
Savonière,GE_Sav_3,ligne-d'eau,4,10.0,39.0,4.0,116.0,41.0,0.0,9.0,13.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,210.0,34.0,0.0,34.0
Baby Plage,GE_Bab_1,ligne-d'eau,1,4.0,11.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,1.0,0.0,1.0
Baby Plage,GE_Bab_2,ligne-d'eau,1,4.0,16.0,1.0,83.0,16.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,122.0,3.0,0.0,3.0
Baby Plage,GE_Bab_3,ligne-d'eau,1,3.0,3.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,1.0,0.0,1.0
Baby Plage,GE_Bab_4,ligne-d'eau,1,6.0,2.0,0.0,7.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,6.0,0.0,6.0
Baby Plage,GE_Bab_5,ligne-d'eau,1,7.0,26.0,0.0,53.0,33.0,0.0,0.0,14.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,119.0,19.0,0.0,19.0
