p,E,z,m,fibres,fdure,souple,fragments,status
Hermance,GE_Her_1,ligne-d'eau,3,79.0,3.0,0.0,3.0,prior
Hermance,GE_Her_2,ligne-d'eau,3,25.0,1.0,0.0,1.0,prior
Hermance,GE_Her_3,ligne-d'eau,3,69.0,4.0,0.0,4.0,prior
Hermance,GE_Her_4,ligne-d'eau,3,76.0,9.0,0.0,9.0,prior
Savonière,GE_Sav_1,ligne-d'eau,4,110.0,10.0,0.0,10.0,prior
Savonière,GE_Sav_2,ligne-d'eau,4,24.0,2.0,0.0,2.0,prior
Savonière,GE_Sav_3,ligne-d'eau,4,210.0,34.0,0.0,34.0,prior
Baby Plage,GE_Bab_1,ligne-d'eau,1,22.0,1.0,0.0,1.0,prior
Baby Plage,GE_Bab_2,ligne-d'eau,1,122.0,3.0,0.0,3.0,prior
Baby Plage,GE_Bab_3,ligne-d'eau,1,31.0,1.0,0.0,1.0,prior
Baby Plage,GE_Bab_4,ligne-d'eau,1,21.0,6.0,0.0,6.0,prior
Baby Plage,GE_Bab_5,ligne-d'eau,1,119.0,19.0,0.0,19.0,prior
Baby Plage,GE_Bab_6,plage-seche,1,51.0,8.0,0.0,8.0,prior
Baby Plage,GE_Bab_7,plage-seche,1,88.0,12.0,0.0,12.0,prior
Baby Plage,GE_Bab_8,plage-seche,1,203.0,16.0,4.0,20.0,prior
Versoix,GE_Ver_1,ligne-d'eau,3,59.0,3.0,0.0,3.0,prior
Versoix,GE_Ver_2,ligne-d'eau,3,134.0,10.0,2.0,12.0,prior
Versoix,GE_Ver_3,ligne-d'eau,3,89.0,1.0,0.0,1.0,prior
Versoix,GE_Ver_4,plage-seche,3,84.0,17.0,0.0,17.0,prior
Crans,VD_Cra_1,ligne-d'eau,2,17.0,2.0,0.0,2.0,prior
Gland,VD_Gld_1,ligne-d'eau,2,26.0,8.0,6.0,14.0,prior
Rolle,VD_Rol_1,ligne-d'eau,2,67.0,30.0,2.0,32.0,prior
Rolle,VD_Rol_2,ligne-d'eau,2,28.0,35.0,0.0,35.0,prior
Rolle,VD_Rol_3,ligne-d'eau,2,60.0,15.0,3.0,18.0,prior
Rolle,VD_Rol_4,ligne-d'eau,2,160.0,24.0,2.0,26.0,prior
Rolle,VD_Rol_5,ligne-d'eau,2,98.0,21.0,2.0,23.0,prior
Rolle,VD_Rol_6,ligne-d'eau,2,145.0,40.0,9.0,49.0,prior
Rolle,VD_Rol_7,ligne-d'eau,2,177.0,21.0,2.0,23.0,prior
Rolle,VD_Rol_8,ligne-d'eau,2,83.0,41.0,6.0,47.0,prior
Rolle,VD_Rol_9,ligne-d'eau,2,72.0,21.0,2.0,23.0,prior
Rolle,VD_Rol_10,ligne-d'eau,2,72.0,10.0,3.0,13.0,prior
Rolle,VD_Rol_11,plage-seche,2,155.0,36.0,1.0,37.0,prior
Rolle,VD_Rol_12,plage-seche,2,99.0,20.0,5.0,25.0,prior
Rolle,VD_Rol_13,plage-seche,2,156.0,198.0,1.0,199.0,prior
Rolle,VD_Rol_14,plage-seche,2,72.0,43.0,1.0,44.0,prior
Rolle,VD_Rol_15,plage-seche,2,131.0,42.0,2.0,44.0,prior
Rolle,VD_Rol_16,plage-seche,2,155.0,12.0,4.0,16.0,prior
Rolle,VD_Rol_17,plage-seche,2,84.0,16.0,5.0,21.0,prior
Rolle,VD_Rol_18,plage-seche,2,58.0,12.0,0.0,12.0,prior
Rolle,VD_Rol_19,plage-seche,2,97.0,33.0,4.0,37.0,prior
Rolle,VD_Rol_20,plage-seche,2,98.0,31.0,7.0,38.0,prior
Rolle,VD_Rol_21,plage-seche,2,240.0,154.0,6.0,160.0,prior
Aubonne,VD_Aub_1,ligne-d'eau,4,39.0,5.0,0.0,5.0,prior
Aubonne,VD_Aub_2,ligne-d'eau,4,51.0,8.0,0.0,8.0,prior
Aubonne,VD_Aub_3,ligne-d'eau,4,86.0,2.0,1.0,3.0,prior
Aubonne,VD_Aub_4,ligne-d'eau,4,30.0,37.0,0.0,37.0,prior
Aubonne,VD_Aub_5,ligne-d'eau,4,42.0,11.0,2.0,13.0,prior
Aubonne,VD_Aub_6,plage-seche,4,76.0,10.0,1.0,11.0,prior
Tolochenaz,VD_Tol_1,ligne-d'eau,2,54.0,3.0,0.0,3.0,prior
Tolochenaz,VD_Tol_2,ligne-d'eau,2,54.0,1.0,0.0,1.0,prior
Tolochenaz,VD_Tol_3,ligne-d'eau,2,82.0,7.0,0.0,7.0,prior
Tolochenaz,VD_Tol_4,ligne-d'eau,2,176.0,6.0,0.0,6.0,prior
Préverenges,VD_Pré_1,ligne-d'eau,1,179.0,16.0,3.0,19.0,prior
Préverenges,VD_Pré_3,ligne-d'eau,1,251.0,112.0,118.0,230.0,prior
Préverenges,VD_Pré_4,ligne-d'eau,1,36.0,41.0,1.0,42.0,prior
Préverenges,VD_Pré_5,ligne-d'eau,1,67.0,58.0,3.0,61.0,prior
Préverenges,VD_Pré_6,ligne-d'eau,1,69.0,15.0,2.0,17.0,prior
Préverenges,VD_Pré_7,ligne-d'eau,1,110.0,32.0,6.0,38.0,prior
Préverenges,VD_Pré_8,ligne-d'eau,1,132.0,9.0,10.0,19.0,prior
Préverenges,VD_Pré_9,ligne-d'eau,1,118.0,43.0,13.0,56.0,prior
Préverenges,VD_Pré_10,ligne-d'eau,1,53.0,40.0,2.0,42.0,prior
Préverenges,VD_Pré_11,plage-seche,1,224.0,23.0,6.0,29.0,prior
Préverenges,VD_Pré_12,plage-seche,1,124.0,13.0,2.0,15.0,prior
Préverenges,VD_Pré_14,plage-seche,1,208.0,26.0,8.0,34.0,prior
Préverenges,VD_Pré_16,plage-seche,1,94.0,14.0,6.0,20.0,prior
Préverenges,VD_Pré_17,plage-seche,1,130.0,21.0,6.0,27.0,prior
Préverenges,VD_Pré_19,plage-seche,1,120.0,18.0,4.0,22.0,prior
Préverenges,VD_Pré_20,plage-seche,1,121.0,29.0,7.0,36.0,prior
Préverenges,VD_Pré_21,plage-seche,1,206.0,85.0,11.0,96.0,prior
Vidy,VD_Vid_1,ligne-d'eau,1,102.0,2.0,0.0,2.0,prior
Vidy,VD_Vid_2,ligne-d'eau,1,202.0,10.0,1.0,11.0,prior
Vidy,VD_Vid_3,ligne-d'eau,1,39.0,1.0,0.0,1.0,prior
Vidy,VD_Vid_4,ligne-d'eau,1,24.0,2.0,0.0,2.0,prior
Vidy,VD_Vid_5,ligne-d'eau,1,36.0,13.0,2.0,15.0,prior
Vidy,VD_Vid_6,ligne-d'eau,1,34.0,1.0,0.0,1.0,prior
Lutry,VD_Lut_1,ligne-d'eau,4,126.0,0.0,0.0,0.0,prior
Lutry,VD_Lut_2,ligne-d'eau,4,61.0,7.0,1.0,8.0,prior
Lutry,VD_Lut_3,ligne-d'eau,4,68.0,2.0,2.0,4.0,prior
Lutry,VD_Lut_4,ligne-d'eau,4,39.0,2.0,0.0,2.0,prior
Cully,VD_Cul_1,ligne-d'eau,3,117.0,11.0,0.0,11.0,prior
Pichette,VD_Pic_1,ligne-d'eau,3,18.0,2.0,0.0,2.0,prior
Pichette,VD_Pic_2,ligne-d'eau,3,107.0,6.0,0.0,6.0,prior
Pichette,VD_Pic_3,ligne-d'eau,3,75.0,8.0,0.0,8.0,prior
Clarens,VD_Cls_1,ligne-d'eau,4,44.0,7.0,1.0,8.0,prior
Clarens,VD_Cls_2,ligne-d'eau,4,84.0,3.0,2.0,5.0,prior
Clarens,VD_Cls_3,ligne-d'eau,4,42.0,7.0,0.0,7.0,prior
Clarens,VD_Cls_4,ligne-d'eau,4,25.0,2.0,0.0,2.0,prior
Grangettes,VD_Grs_3,ligne-d'eau,1,89.0,10.0,0.0,10.0,prior
Bouveret,VS_Bou_1,ligne-d'eau,1,68.0,14.0,0.0,14.0,prior
Bouveret,VS_Bou_2,ligne-d'eau,1,100.0,9.0,0.0,9.0,prior
Bouveret,VS_Bou_3,ligne-d'eau,1,36.0,1.0,0.0,1.0,prior
Bouveret,VS_Bou_4,ligne-d'eau,1,37.0,18.0,2.0,20.0,prior
Bouveret,VS_Bou_5,ligne-d'eau,1,199.0,59.0,0.0,59.0,prior
Bouveret,VS_Bou_6,ligne-d'eau,1,35.0,0.0,0.0,0.0,prior
Bouveret,VS_Bou_7,ligne-d'eau,1,53.0,5.0,0.0,5.0,prior
Tougues,74_Tou_5,ligne-d'eau,2,43.0,8.0,0.0,8.0,prior
Amphion,74_Amp_1,ligne-d'eau,4,97.0,0.0,0.0,0.0,update
Amphion,74_Amp_2,ligne-d'eau,4,121.0,3.0,12.0,15.0,update
Amphion,74_Amp_3,ligne-d'eau,4,31.0,0.0,0.0,0.0,update
Amphion,74_Amp_4,ligne-d'eau,4,179.0,2.0,1.0,3.0,update
Anthy,74_Ant_1,ligne-d'eau,4,29.0,5.0,4.0,9.0,update
Anthy,74_Ant_2,ligne-d'eau,4,33.0,8.0,16.0,24.0,update
Anthy,74_Ant_3,ligne-d'eau,4,61.0,9.0,1.0,10.0,update
Excenevex,74_Exc_1,ligne-d'eau,1,84.0,13.0,21.0,34.0,update
Excenevex,74_Exc_2,ligne-d'eau,1,184.0,0.0,6.0,6.0,update
Excenevex,74_Exc_3,ligne-d'eau,1,109.0,11.0,10.0,21.0,update
Excenevex,74_Exc_4,ligne-d'eau,1,39.0,3.0,9.0,12.0,update
Excenevex,74_Exc_5,ligne-d'eau,1,33.0,1.0,4.0,5.0,update
