échantillon,slug,date,code,pcs_m,fréquentation,situation,distance,substrat
"('amphion', '01.02.2022')",amphion,2022-02-01,G10,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G100,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G101,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G102,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G103,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G106,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G112,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G113,0.01098901098901099,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G114,0.43956043956043955,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G117,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G12,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G125,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G126,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G127,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G128,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G129,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G131,0.01098901098901099,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G132,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G133,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G135,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G136,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G137,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G139,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G144,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G145,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G148,0.01098901098901099,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G155,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G159,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G165,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G18,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G194,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G2,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G211,0.02197802197802198,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G25,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G26,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G27,0.04395604395604396,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G28,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G29,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G30,0.5714285714285714,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G31,0.12087912087912088,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G32,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G33,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G34,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G35,0.14285714285714285,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G39,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G4,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G48,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G50,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G53,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G54,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G66,0.07692307692307693,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G67,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G7,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G70,0.3626373626373626,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G73,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G74,0.0,3,1,1,4
"('amphion', '01.02.2022')",amphion,2022-02-01,G89,0.0,3,1,1,4
