,Amphion,Anthy,Aubonne,Bouveret,Clarens,Crans,Cully,Excenevex,Genève,Gland,Grangettes,Hermance,Léman
Fragments de plastique angulaires <5mm,0.0,0.0,0.03,0.6810344827586207,0.0,0.0,0.0,0.8916666666666667,0.4567901234567901,0.0,0.3106060606060606,0.0,0.0
Pellets industriels (GPI),0.0,0.0058823529411764705,0.0,0.4224137931034483,0.019230769230769232,0.0,0.0,0.05,0.2716049382716049,0.08695652173913043,0.2727272727272727,0.0,0.0
Mégots et filtres à cigarettes,0.12637362637362637,0.058823529411764705,0.19,0.4267241379310345,1.1923076923076923,0.0,0.05555555555555555,0.3625,0.35802469135802467,0.10869565217391304,0.34090909090909094,0.125,0.15059940059940058
"Emballages de bonbons, de snacks",0.4340659340659341,0.0,0.08,0.43103448275862066,0.24038461538461536,0.047619047619047616,0.0,0.13333333333333333,0.16049382716049382,0.0,1.6742424242424243,0.0234375,0.14583333333333331
Bâtonnets de sucette,0.12087912087912088,0.0058823529411764705,0.01,0.14655172413793105,0.04807692307692308,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.015142857142857142
Mousse de plastique pour l'isolation thermique,0.016483516483516484,0.0,0.0,0.017241379310344827,0.3076923076923077,0.0,0.0,0.0,0.006172839506172839,0.0,0.6818181818181819,0.0,0.0
Déchets de construction en plastique,0.0,0.0,0.0,0.4913793103448276,0.019230769230769232,0.0,0.0,0.0,0.012345679012345678,0.0,0.24242424242424243,0.0,0.0
Coton-tige,0.7032967032967032,0.01764705882352941,0.0,0.1853448275862069,0.2692307692307692,0.0,0.0,0.0,0.012345679012345678,0.021739130434782608,0.5454545454545454,0.0,0.03364705882352941
"Couvercles en plastique bouteille:  G21, G22, G23, G24",0.6538461538461539,0.0,0.07,0.4051724137931035,0.04807692307692308,0.0,0.05555555555555555,0.0625,0.06172839506172839,0.0,0.33333333333333337,0.0,0.035897435897435895
"Fragments de polystyrène expansé: G81, G82, G83",0.45054945054945056,0.0058823529411764705,0.03,0.2974137931034483,0.21153846153846156,0.0,0.0,0.0875,0.037037037037037035,0.4782608695652174,1.3106060606060606,0.0,0.06533333333333333
"Fragments de plastique: G80, G79, G78, G77, G76, G75",2.818681318681319,0.3,0.24000000000000002,2.181034482758621,1.3365384615384617,0.14285714285714285,0.1388888888888889,5.175,0.8395061728395061,0.6304347826086956,5.787878787878787,0.25,0.7150197628458498
