slug,project,Total,G27,Gfrags,region,lat,lon,label
amphion,Plastock,6.741758241758242,0.11538461538461539,2.8626373626373627,Grand lac,46.39811667,6.534083333,Amphion
anthy,Plastock,0.4235294117647059,0.08235294117647059,0.24411764705882352,Grand lac,46.35155,6.404266667,Anthy
aubonne,Plastock,0.925,0.195,0.245,Grand lac,46.46026667,6.39115,Aubonne
baby-plage,Plastock,3.583333333333333,0.7037037037037037,0.8024691358024691,Petit lac,46.20878333,6.16285,Baby Plage
bouveret,Plastock,7.079741379310345,0.4504310344827586,2.226293103448276,Haut lac,46.389,6.859816667,Bouveret
clarens,Plastock,5.399038461538462,2.0769230769230766,1.5721153846153846,Haut lac,46.43941667,6.889566667,Clarens
crans,Plastock,0.30158730158730157,0.0,0.17460317460317457,Petit lac,46.35538333,6.214033333,Crans
cully-p,Plastock,0.5833333333333333,0.18055555555555558,0.15277777777777776,Haut lac,46.48895,6.7414,Cully
excenevex,Plastock,8.135416666666666,0.3729166666666667,4.972916666666666,Grand lac,46.34981667,6.3595,Excenevex
gland,Plastock,2.2391304347826084,0.09782608695652173,1.0869565217391304,Grand lac,46.4188,6.290033333,Gland
grangettes,Plastock,13.625,0.4393939393939394,5.859848484848485,Haut lac,46.39621667,6.886716667,Grangettes
hermance,Plastock,0.78125,0.2890625,0.3359375,Petit lac,46.30358333,6.240833333,Hermance
lugrin,Plastock,2.2964285714285713,0.34285714285714286,0.47857142857142854,Grand lac,46.40485,6.667833333,Lugrin
lutry,Plastock,2.5681818181818183,0.07954545454545454,1.7348484848484849,Grand lac,46.49995,6.69245,Lutry
meillerie,Plastock,0.87,0.15000000000000002,0.16,Haut lac,46.40773333,6.716533333,Meillerie
pichette,Plastock,0.30625,0.043750000000000004,0.07500000000000001,Haut lac,46.46991667,6.815783333,Pichette
port-choiseul,Plastock,4.362179487179487,0.3205128205128205,1.9262820512820513,Petit lac,46.28966667,6.170716667,Port Choiseul
preverenges-p,Plastock,4.794,0.358,2.058,Grand lac,46.51141667,6.529916667,Préverenges
rolle,Plastock,3.6700680272108848,0.6904761904761904,1.1564625850340138,Grand lac,46.46133333,6.350633333,Rolle
saint-disdille,Plastock,4.6274999999999995,0.4175,1.9425,Grand lac,46.40105,6.502066667,Saint-Disdille
savonniere,Plastock,2.6136363636363633,0.47727272727272724,0.9454545454545454,Petit lac,46.26413333,6.199733333,Savonnière
tolochenaz-p,Plastock,0.5208333333333334,0.013888888888888888,0.24305555555555555,Grand lac,46.4917,6.48075,Tolochenaz
tougues,Plastock,1.4078947368421053,0.7083333333333333,0.34868421052631576,Petit lac,46.32471667,6.256883333,Tougues
versoix-p,Plastock,1.4583333333333335,0.008333333333333333,0.8833333333333333,Petit lac,46.27405,6.171316667,Versoix
vidy-p,Plastock,5.492957746478873,1.7640845070422535,1.443661971830986,Grand lac,46.51121667,6.6109,Vidy
