Plage,Total,G27,Gfrags,region,lat,lon
Amphion,1.3943181818181807,0.0238636363636363,0.5920454545454545,Grand lac,46.39811667,6.534083333
Anthy,0.1318681318681315,0.0256410256410256,0.07600732600732597,Grand lac,46.35155,6.404266667
Aubonne,0.1360294117647054,0.02867647058823525,0.036029411764705824,Grand lac,46.46026667,6.39115
Baby Plage,0.5851814516129021,0.11491935483870964,0.13104838709677416,Petit lac,46.20878333,6.16285
Bouveret,1.5293296089385466,0.09729981378026065,0.48091247672253257,Haut lac,46.389,6.859816667
Clarens,0.8257352941176463,0.3176470588235294,0.24044117647058819,Haut lac,46.43941667,6.889566667
Crans,0.3958333333333333,0.0,0.22916666666666666,Petit lac,46.35538333,6.214033333
Cully,0.15671641791044755,0.048507462686567145,0.04104477611940295,Haut lac,46.48895,6.7414
Excenevex,0.49355409504549985,0.0226238624873609,0.30169362992922144,Grand lac,46.34981667,6.3595
Gland,1.1444444444444442,0.04999999999999995,0.5555555555555556,Grand lac,46.4188,6.290033333
Grangettes,2.652654867256636,0.08554572271386428,1.1408554572271385,Haut lac,46.39621667,6.886716667
Hermance,0.13861550229474748,0.049999999999999975,0.0613207547169811,Petit lac,46.30358333,6.240833333
Lugrin,0.6958874458874451,0.10389610389610388,0.14502164502164497,Grand lac,46.40485,6.667833333
Lutry,0.5450160771704177,0.01688102893890675,0.36816720257234725,Grand lac,46.49995,6.69245
Meillerie,0.4103773584905656,0.07075471698113203,0.0754716981132075,Haut lac,46.40773333,6.716533333
Pichette,0.06852380641835425,0.01695384362170585,0.0116819455054749,Haut lac,46.46991667,6.815783333
Port Choiseul,0.7663288288288282,0.05630630630630627,0.3384009009009009,Petit lac,46.28966667,6.170716667
Préverenges,0.5912781278127812,0.0446039603960396,0.2459645964596459,Grand lac,46.51141667,6.529916667
Rolle,0.38384916399857616,0.0722162931341159,0.12095339736748485,Grand lac,46.36133333,6.350633333
Saint-Disdille,1.385479041916167,0.12499999999999997,0.5815868263473054,Grand lac,46.40105,6.502066667
Savonnière,0.3531941031941025,0.06449631449631445,0.1277641277641277,Petit lac,46.26416667,6.199916667
Tolochenaz,0.14763779527559,0.003937007874015725,0.06889763779527552,Grand lac,46.4917,6.48075
Tougues,0.2950367647058818,0.14843749999999997,0.07306985294117643,Petit lac,46.32471667,6.256883333
Versoix,0.2588757396449702,0.0014792899408284,0.15680473372781062,Petit lac,46.27405,6.171316667
Vidy,0.7738095238095224,0.24851190476190474,0.20337301587301582,Grand lac,46.51121667,6.6109
