slug,project,Total,G27,Gfrags,region,lat,lon
anarchy-beach,IQAASL,4.33,0.89,0.68,Haut lac,46.447216,6.859612
anarchy-beach,SLR,11.98,0.81,3.47,Haut lac,46.447216,6.859612
arabie,MCBP,18.3625,3.1575,2.5749999999999997,Haut lac,46.462099,6.834972
arabie,SLR,4.84,0.23,0.7,Haut lac,46.462099,6.834972
baby-plage-geneva,IQAASL,2.537272727272727,0.7045454545454546,0.5418181818181819,Petit lac,46.208558,6.162923
baby-plage-ii-geneve,IQAASL,0.64,0.23,0.105,Petit lac,46.20894,6.16433
bain-des-dames,IQAASL,9.25,1.31,3.07,Haut lac,46.4505068,6.8580918
bain-des-dames,MCBP,29.78,3.12,9.76,Haut lac,46.4505068,6.8580918
bain-des-dames,SLR,15.61,5.4799999999999995,2.2300000000000004,Haut lac,46.4505068,6.8580918
baye-de-clarens,MCBP,2.89,0.27692307692307694,0.33076923076923076,Haut lac,46.439787,6.888903
baye-de-montreux-d,MCBP,4.4975,2.35375,0.363125,Haut lac,46.430962,6.908673
baye-de-montreux-g,IQAASL,3.358333333333333,1.2,0.38166666666666665,Haut lac,46.430834,6.908778
baye-de-montreux-g,MCBP,4.511666666666667,1.9166666666666667,0.445,Haut lac,46.430834,6.908778
boiron,IQAASL,1.5,0.14,0.2,Grand lac,46.4910297,6.4801618
boiron,MCBP,2.68,0.66,0.54,Grand lac,46.4910297,6.4801618
cully-plage,IQAASL,4.07,0.335,1.25,Haut lac,46.4888866,6.7413961
grand-clos,IQAASL,22.078181818181818,0.21727272727272726,3.5990909090909096,Haut lac,46.387746,6.843686
grand-clos,MCBP,37.82,1.46,7.43,Haut lac,46.387746,6.843686
grand-clos,SLR,6.33,0.21,0.0,Haut lac,46.387746,6.843686
jardin-botanique,MCBP,8.036666666666667,1.03,1.2666666666666666,Petit lac,46.2259088,6.1493572
la-morges,SLR,4.83,2.63,0.27,Grand lac,46.504063,6.494099
la-pecherie,IQAASL,6.109999999999999,0.36999999999999994,1.2733333333333334,Grand lac,46.4639187,6.3857321
lacleman_gland_kubela,SLR,6.2763636363636355,0.18181818181818182,0.8445454545454545,Petit lac,46.4028693,6.2819358
lacleman_gland_lecoanets,IQAASL,1.11,0.17,0.16,Petit lac,46.4028106,6.2819586
lacleman_gland_lecoanets,SLR,0.8511111111111112,0.051111111111111114,0.11666666666666667,Petit lac,46.4028106,6.2819586
lacleman_vidy_santie,SLR,5.5625,1.5008333333333332,0.7308333333333333,Grand lac,46.5183178,6.5896078
le-pierrier,IQAASL,2.51,0.0,0.28,Haut lac,46.439727,6.888968
le-pierrier,MCBP,16.683333333333334,2.2033333333333336,3.033333333333333,Haut lac,46.439727,6.888968
le-pierrier,SLR,16.650000000000002,6.12,0.18,Haut lac,46.439727,6.888968
le-port,MCBP,29.54,1.29,9.82,Haut lac,46.452245,6.85518
maladaire,IQAASL,2.670833333333333,0.2808333333333333,0.45999999999999996,Haut lac,46.446296,6.87696
maladaire,MCBP,10.89,1.75,1.475,Haut lac,46.446296,6.87696
oyonne,IQAASL,7.62,0.64,3.19,Haut lac,46.456682,6.852262
oyonne,MCBP,18.09,1.89,0.86,Haut lac,46.456682,6.852262
parc-des-pierrettes,IQAASL,8.74,0.96,1.72,Grand lac,46.515215,6.575531
parc-des-pierrettes,MCBP,13.02,1.42,2.38,Grand lac,46.515215,6.575531
parc-des-pierrettes,SLR,4.484999999999999,0.68,0.24,Grand lac,46.515215,6.575531
pierrier-sud,MCBP,38.94,3.94,9.19,Haut lac,46.4395601,6.8910001
plage-de-dorigny,MCBP,7.99,0.92,0.88,Grand lac,46.518169,6.583319
plage-de-st-sulpice,IQAASL,4.82,0.68,1.29,Grand lac,46.513265,6.570977
plage-de-st-sulpice,MCBP,20.490000000000002,3.29,5.85,Grand lac,46.513265,6.570977
plage-de-st-sulpice,SLR,4.83,0.9,0.01,Grand lac,46.513265,6.570977
plage-de-st-sulpice,Solid-Waste-Team,7.2,0.0,2.7,Grand lac,46.513265,6.570977
preverenges,IQAASL,6.280833333333334,1.1033333333333333,0.9275000000000001,Grand lac,46.51269,6.527657
preverenges,SLR,2.495,0.96,0.255,Grand lac,46.51269,6.527657
preverenges-le-sout,IQAASL,2.35,0.06,0.44,Grand lac,46.5089049,6.5345263
quai-maria-belgia,IQAASL,5.66,1.5599999999999998,0.6525,Haut lac,46.460156,6.836718
quai-maria-belgia,MCBP,9.343333333333335,3.3233333333333337,1.0466666666666666,Haut lac,46.460156,6.836718
quai-maria-belgia,SLR,13.095714285714285,7.145714285714286,0.5657142857142857,Haut lac,46.460156,6.836718
rocky-plage,IQAASL,0.48,0.22,0.0,Petit lac,46.20973675,6.16495237
rolle-plage,SLR,7.95,1.53,3.47,Grand lac,46.4613,6.349739
saint-sulpice,SLR,1.5699999999999998,0.06,0.83,Grand lac,46.507808,6.545344
tiger-duck-beach,IQAASL,23.096666666666664,0.7433333333333333,2.22,Grand lac,46.518256,6.582546
tiger-duck-beach,SLR,66.03,9.83,29.06,Grand lac,46.518256,6.582546
tiger-duck-beach,Solid-Waste-Team,14.07,1.47,8.17,Grand lac,46.518256,6.582546
tolochenaz,IQAASL,4.529999999999999,2.0,1.17,Grand lac,46.4975095,6.4828747
versoix,IQAASL,2.8466666666666662,0.32,0.9933333333333333,Grand lac,46.289194,6.1705693
versoix,MCBP,8.37,0.85,1.96,Grand lac,46.289194,6.1705693
veveyse,MCBP,3.326470588235294,0.9458823529411764,0.38882352941176473,Haut lac,46.461022,6.834983
vidy,MCBP,6.24,0.38,2.0,Grand lac,46.5147155,6.5985884
vidy-ruines,IQAASL,17.244285714285713,1.9985714285714287,6.4399999999999995,Grand lac,46.516221,6.596279
villa-barton,IQAASL,6.425,0.07,0.8200000000000001,Petit lac,46.22235,6.1525
villa-barton,MCBP,8.481111111111112,1.238888888888889,2.0544444444444445,Petit lac,46.22235,6.1525
villa-barton,Solid-Waste-Team,7.74,0.07,3.1,Petit lac,46.22235,6.1525
